DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-23 00:00:00+00:00,5.93,4.31,1.063,MAINTENANCE
2024-08-23 00:01:00+00:00,5.87,4.25,1.011,MAINTENANCE
2024-08-23 00:02:00+00:00,5.93,4.31,1.014,MAINTENANCE
2024-08-23 00:03:00+00:00,5.93,4.31,1.014,MAINTENANCE
2024-08-23 00:04:00+00:00,6.0,4.31,1.013,MAINTENANCE
2024-08-23 00:05:00+00:00,5.93,4.31,1.015,MAINTENANCE
2024-08-23 00:06:00+00:00,6.06,4.31,1.016,MAINTENANCE
2024-08-23 00:07:00+00:00,6.0,4.31,1.016,MAINTENANCE
2024-08-23 00:08:00+00:00,6.12,4.25,1.016,MAINTENANCE
2024-08-23 00:09:00+00:00,6.12,4.31,1.016,MAINTENANCE
2024-08-23 00:10:00+00:00,6.12,4.31,1.014,MAINTENANCE
2024-08-23 00:11:00+00:00,6.18,4.31,1.016,MAINTENANCE
2024-08-23 00:12:00+00:00,6.25,4.31,1.015,MAINTENANCE
2024-08-23 00:13:00+00:00,6.12,4.31,0.93,MAINTENANCE
2024-08-23 00:14:00+00:00,5.93,4.31,0.93,MAINTENANCE
2024-08-23 00:15:00+00:00,5.93,4.31,0.991,MAINTENANCE
2024-08-23 00:16:00+00:00,5.93,4.31,1.009,MAINTENANCE
2024-08-23 00:17:00+00:00,5.93,4.31,1.014,MAINTENANCE
2024-08-23 00:18:00+00:00,5.87,4.31,1.016,MAINTENANCE
2024-08-23 00:19:00+00:00,5.93,4.37,1.014,MAINTENANCE
2024-08-23 00:20:00+00:00,5.93,4.37,1.015,MAINTENANCE
2024-08-23 00:21:00+00:00,6.0,4.31,1.014,MAINTENANCE
2024-08-23 00:22:00+00:00,6.0,4.31,1.014,MAINTENANCE
2024-08-23 00:23:00+00:00,6.06,4.37,1.014,MAINTENANCE
2024-08-23 00:24:00+00:00,6.06,4.37,1.015,MAINTENANCE
2024-08-23 00:25:00+00:00,6.06,4.37,1.014,MAINTENANCE
2024-08-23 00:26:00+00:00,6.18,4.31,1.015,MAINTENANCE
2024-08-23 00:27:00+00:00,6.25,4.37,1.014,MAINTENANCE
2024-08-23 00:28:00+00:00,6.18,4.31,0.854,MAINTENANCE
2024-08-23 00:29:00+00:00,6.0,4.31,0.434,MAINTENANCE
2024-08-23 00:30:00+00:00,5.93,4.37,1.0,MAINTENANCE
2024-08-23 00:31:00+00:00,5.93,4.37,1.009,MAINTENANCE
2024-08-23 00:32:00+00:00,5.93,4.37,1.015,MAINTENANCE
2024-08-23 00:33:00+00:00,5.87,4.37,1.012,MAINTENANCE
2024-08-23 00:34:00+00:00,5.93,4.37,1.013,MAINTENANCE
2024-08-23 00:35:00+00:00,5.93,4.37,1.014,MAINTENANCE
2024-08-23 00:36:00+00:00,6.0,4.37,1.014,MAINTENANCE
2024-08-23 00:37:00+00:00,6.0,4.37,1.013,MAINTENANCE
2024-08-23 00:38:00+00:00,6.06,4.37,1.014,MAINTENANCE
2024-08-23 00:39:00+00:00,6.06,4.31,1.014,MAINTENANCE
2024-08-23 00:40:00+00:00,6.12,4.37,1.013,MAINTENANCE
2024-08-23 00:41:00+00:00,6.12,4.31,1.014,MAINTENANCE
2024-08-23 00:42:00+00:00,6.18,4.37,1.013,MAINTENANCE
2024-08-23 00:43:00+00:00,6.18,4.37,0.946,MAINTENANCE
2024-08-23 00:44:00+00:00,6.18,4.37,0.957,MAINTENANCE
2024-08-23 00:45:00+00:00,6.06,4.37,1.03,MAINTENANCE
2024-08-23 00:46:00+00:00,5.93,4.31,0.8,MAINTENANCE
2024-08-23 00:47:00+00:00,5.81,4.12,0.867,MAINTENANCE
2024-08-23 00:48:00+00:00,5.68,4.0,0.891,MAINTENANCE
2024-08-23 00:49:00+00:00,5.56,4.0,0.861,MAINTENANCE
2024-08-23 00:50:00+00:00,5.5,4.0,0.992,MAINTENANCE
2024-08-23 00:51:00+00:00,5.5,3.93,1.011,MAINTENANCE
2024-08-23 00:52:00+00:00,5.5,3.93,1.008,MAINTENANCE
2024-08-23 00:53:00+00:00,5.5,3.93,1.016,MAINTENANCE
2024-08-23 00:54:00+00:00,5.5,3.93,1.014,MAINTENANCE
2024-08-23 00:55:00+00:00,5.5,3.87,1.014,MAINTENANCE
2024-08-23 00:56:00+00:00,5.56,3.93,1.014,MAINTENANCE
2024-08-23 00:57:00+00:00,5.56,3.93,1.014,MAINTENANCE
2024-08-23 00:58:00+00:00,5.56,3.87,1.014,MAINTENANCE
2024-08-23 00:59:00+00:00,5.62,3.93,1.013,MAINTENANCE
2024-08-23 01:00:00+00:00,5.62,3.93,1.014,MAINTENANCE
2024-08-23 01:01:00+00:00,5.68,3.87,1.014,MAINTENANCE
2024-08-23 01:02:00+00:00,5.68,4.0,1.013,MAINTENANCE
2024-08-23 01:03:00+00:00,5.62,3.87,0.958,MAINTENANCE
2024-08-23 01:04:00+00:00,5.56,3.87,0.817,MAINTENANCE
2024-08-23 01:05:00+00:00,5.56,3.93,1.017,MAINTENANCE
2024-08-23 01:06:00+00:00,5.5,3.93,1.018,MAINTENANCE
2024-08-23 01:07:00+00:00,5.5,3.93,1.01,MAINTENANCE
2024-08-23 01:08:00+00:00,5.5,3.93,1.014,MAINTENANCE
2024-08-23 01:09:00+00:00,5.56,3.93,1.013,MAINTENANCE
2024-08-23 01:10:00+00:00,5.5,3.93,1.014,MAINTENANCE
2024-08-23 01:11:00+00:00,5.56,3.93,1.013,MAINTENANCE
2024-08-23 01:12:00+00:00,5.62,3.93,1.013,MAINTENANCE
2024-08-23 01:13:00+00:00,5.62,3.93,1.013,MAINTENANCE
2024-08-23 01:14:00+00:00,5.68,3.87,1.013,MAINTENANCE
2024-08-23 01:15:00+00:00,5.68,3.93,1.013,MAINTENANCE
2024-08-23 01:16:00+00:00,5.81,3.93,1.013,MAINTENANCE
2024-08-23 01:17:00+00:00,5.75,3.93,1.014,MAINTENANCE
2024-08-23 01:18:00+00:00,5.81,3.93,1.06,MAINTENANCE
2024-08-23 01:19:00+00:00,5.68,3.87,0.982,MAINTENANCE
2024-08-23 01:20:00+00:00,5.62,3.93,1.005,MAINTENANCE
2024-08-23 01:21:00+00:00,5.62,3.87,1.005,MAINTENANCE
2024-08-23 01:22:00+00:00,5.62,3.93,1.01,MAINTENANCE
2024-08-23 01:23:00+00:00,5.62,3.93,1.015,MAINTENANCE
