DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-22 00:00:00+00:00,6.43,4.18,0.986,MAINTENANCE
2024-08-22 00:01:00+00:00,6.43,4.18,1.032,MAINTENANCE
2024-08-22 00:02:00+00:00,6.43,4.18,0.943,MAINTENANCE
2024-08-22 00:03:00+00:00,6.43,4.25,0.984,MAINTENANCE
2024-08-22 00:04:00+00:00,6.43,4.25,0.986,MAINTENANCE
2024-08-22 00:05:00+00:00,6.43,4.18,0.981,MAINTENANCE
2024-08-22 00:06:00+00:00,6.5,4.18,1.008,MAINTENANCE
2024-08-22 00:07:00+00:00,6.5,4.18,1.027,MAINTENANCE
2024-08-22 00:08:00+00:00,6.43,4.25,1.009,MAINTENANCE
2024-08-22 00:09:00+00:00,6.5,4.25,1.015,MAINTENANCE
2024-08-22 00:10:00+00:00,6.37,4.18,1.013,MAINTENANCE
2024-08-22 00:11:00+00:00,6.43,4.25,1.016,MAINTENANCE
2024-08-22 00:12:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 00:13:00+00:00,6.5,4.25,1.015,MAINTENANCE
2024-08-22 00:14:00+00:00,6.43,4.25,1.015,MAINTENANCE
2024-08-22 00:15:00+00:00,6.5,4.18,0.998,MAINTENANCE
2024-08-22 00:16:00+00:00,6.43,4.25,0.957,MAINTENANCE
2024-08-22 00:17:00+00:00,6.43,4.25,1.011,MAINTENANCE
2024-08-22 00:18:00+00:00,6.43,4.25,1.021,MAINTENANCE
2024-08-22 00:19:00+00:00,6.43,4.25,1.004,MAINTENANCE
2024-08-22 00:20:00+00:00,6.43,4.25,1.023,MAINTENANCE
2024-08-22 00:21:00+00:00,6.43,4.25,1.024,MAINTENANCE
2024-08-22 00:22:00+00:00,6.5,4.25,1.015,MAINTENANCE
2024-08-22 00:23:00+00:00,6.43,4.25,1.01,MAINTENANCE
2024-08-22 00:24:00+00:00,6.43,4.25,1.014,MAINTENANCE
2024-08-22 00:25:00+00:00,6.43,4.25,1.016,MAINTENANCE
2024-08-22 00:26:00+00:00,6.43,4.31,1.014,MAINTENANCE
2024-08-22 00:27:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 00:28:00+00:00,6.43,4.25,1.015,MAINTENANCE
2024-08-22 00:29:00+00:00,6.5,4.18,1.014,MAINTENANCE
2024-08-22 00:30:00+00:00,6.43,4.25,1.012,MAINTENANCE
2024-08-22 00:31:00+00:00,6.5,4.25,0.989,MAINTENANCE
2024-08-22 00:32:00+00:00,6.43,4.25,1.027,MAINTENANCE
2024-08-22 00:33:00+00:00,6.5,4.31,1.009,MAINTENANCE
2024-08-22 00:34:00+00:00,6.5,4.25,1.006,MAINTENANCE
2024-08-22 00:35:00+00:00,6.5,4.31,1.015,MAINTENANCE
2024-08-22 00:36:00+00:00,6.5,4.25,1.025,MAINTENANCE
2024-08-22 00:37:00+00:00,6.5,4.18,1.014,MAINTENANCE
2024-08-22 00:38:00+00:00,6.43,4.25,1.015,MAINTENANCE
2024-08-22 00:39:00+00:00,6.5,4.25,1.016,MAINTENANCE
2024-08-22 00:40:00+00:00,6.43,4.25,1.015,MAINTENANCE
2024-08-22 00:41:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 00:42:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 00:43:00+00:00,6.43,4.31,1.013,MAINTENANCE
2024-08-22 00:44:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 00:45:00+00:00,6.5,4.25,1.008,MAINTENANCE
2024-08-22 00:46:00+00:00,6.5,4.31,0.979,MAINTENANCE
2024-08-22 00:47:00+00:00,6.5,4.25,0.948,MAINTENANCE
2024-08-22 00:48:00+00:00,6.5,4.25,0.959,MAINTENANCE
2024-08-22 00:49:00+00:00,6.56,4.31,1.03,MAINTENANCE
2024-08-22 00:50:00+00:00,6.5,4.25,0.984,MAINTENANCE
2024-08-22 00:51:00+00:00,6.56,4.25,1.01,MAINTENANCE
2024-08-22 00:52:00+00:00,6.5,4.31,1.018,MAINTENANCE
2024-08-22 00:53:00+00:00,6.5,4.25,1.016,MAINTENANCE
2024-08-22 00:54:00+00:00,6.5,4.31,1.015,MAINTENANCE
2024-08-22 00:55:00+00:00,6.5,4.31,1.015,MAINTENANCE
2024-08-22 00:56:00+00:00,6.5,4.25,1.015,MAINTENANCE
2024-08-22 00:57:00+00:00,6.5,4.25,1.015,MAINTENANCE
2024-08-22 00:58:00+00:00,6.56,4.25,1.014,MAINTENANCE
2024-08-22 00:59:00+00:00,6.5,4.25,1.014,MAINTENANCE
2024-08-22 01:00:00+00:00,6.5,4.31,0.983,MAINTENANCE
2024-08-22 01:01:00+00:00,6.5,4.25,0.87,MAINTENANCE
2024-08-22 01:02:00+00:00,6.56,4.31,1.017,MAINTENANCE
2024-08-22 01:03:00+00:00,6.5,4.31,1.052,MAINTENANCE
2024-08-22 01:04:00+00:00,6.56,4.31,1.019,MAINTENANCE
2024-08-22 01:05:00+00:00,6.5,4.31,1.024,MAINTENANCE
2024-08-22 01:06:00+00:00,6.5,4.31,0.996,MAINTENANCE
2024-08-22 01:07:00+00:00,6.43,4.31,1.009,MAINTENANCE
