DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-18 00:00:00+00:00,6.18,4.18,1.021,MAINTENANCE
2024-08-18 00:01:00+00:00,6.18,4.18,1.015,MAINTENANCE
2024-08-18 00:02:00+00:00,6.18,4.18,1.013,MAINTENANCE
2024-08-18 00:03:00+00:00,6.18,4.25,1.016,MAINTENANCE
2024-08-18 00:04:00+00:00,6.25,4.25,1.014,MAINTENANCE
2024-08-18 00:05:00+00:00,6.25,4.18,1.014,MAINTENANCE
2024-08-18 00:06:00+00:00,6.25,4.25,1.015,MAINTENANCE
2024-08-18 00:07:00+00:00,6.25,4.18,1.028,MAINTENANCE
2024-08-18 00:08:00+00:00,6.25,4.18,1.088,MAINTENANCE
2024-08-18 00:09:00+00:00,6.25,4.18,0.937,MAINTENANCE
2024-08-18 00:10:00+00:00,6.25,4.25,0.995,MAINTENANCE
2024-08-18 00:11:00+00:00,6.25,4.18,0.988,MAINTENANCE
2024-08-18 00:12:00+00:00,6.25,4.25,0.998,MAINTENANCE
2024-08-18 00:13:00+00:00,6.25,4.18,0.997,MAINTENANCE
2024-08-18 00:14:00+00:00,6.25,4.25,1.014,MAINTENANCE
2024-08-18 00:15:00+00:00,6.25,4.25,1.01,MAINTENANCE
2024-08-18 00:16:00+00:00,6.25,4.25,1.023,MAINTENANCE
2024-08-18 00:17:00+00:00,6.25,4.25,1.016,MAINTENANCE
2024-08-18 00:18:00+00:00,6.25,4.18,1.016,MAINTENANCE
2024-08-18 00:19:00+00:00,6.25,4.18,1.014,MAINTENANCE
2024-08-18 00:20:00+00:00,6.25,4.18,1.016,MAINTENANCE
2024-08-18 00:21:00+00:00,6.25,4.25,1.014,MAINTENANCE
2024-08-18 00:22:00+00:00,6.25,4.25,1.0,MAINTENANCE
2024-08-18 00:23:00+00:00,6.25,4.25,0.963,MAINTENANCE
2024-08-18 00:24:00+00:00,6.25,4.25,0.974,MAINTENANCE
2024-08-18 00:25:00+00:00,6.25,4.25,0.99,MAINTENANCE
2024-08-18 00:26:00+00:00,6.25,4.25,0.989,MAINTENANCE
2024-08-18 00:27:00+00:00,6.25,4.31,1.011,MAINTENANCE
2024-08-18 00:28:00+00:00,6.25,4.25,1.029,MAINTENANCE
2024-08-18 00:29:00+00:00,6.25,4.25,1.021,MAINTENANCE
2024-08-18 00:30:00+00:00,6.18,4.25,1.022,MAINTENANCE
2024-08-18 00:31:00+00:00,6.25,4.25,1.011,MAINTENANCE
2024-08-18 00:32:00+00:00,6.25,4.25,1.015,MAINTENANCE
2024-08-18 00:33:00+00:00,6.25,4.25,1.016,MAINTENANCE
2024-08-18 00:34:00+00:00,6.25,4.25,1.013,MAINTENANCE
2024-08-18 00:35:00+00:00,6.25,4.25,1.016,MAINTENANCE
2024-08-18 00:36:00+00:00,6.25,4.31,1.015,MAINTENANCE
2024-08-18 00:37:00+00:00,6.25,4.25,1.024,MAINTENANCE
2024-08-18 00:38:00+00:00,6.25,4.25,0.922,MAINTENANCE
2024-08-18 00:39:00+00:00,6.25,4.25,0.964,MAINTENANCE
2024-08-18 00:40:00+00:00,6.25,4.25,1.051,MAINTENANCE
2024-08-18 00:41:00+00:00,6.25,4.25,1.036,MAINTENANCE
2024-08-18 00:42:00+00:00,6.18,4.31,0.986,MAINTENANCE
2024-08-18 00:43:00+00:00,6.18,4.25,1.007,MAINTENANCE
2024-08-18 00:44:00+00:00,6.18,4.25,1.018,MAINTENANCE
2024-08-18 00:45:00+00:00,6.25,4.25,1.015,MAINTENANCE
2024-08-18 00:46:00+00:00,6.25,4.25,1.021,MAINTENANCE
2024-08-18 00:47:00+00:00,6.25,4.31,1.016,MAINTENANCE
2024-08-18 00:48:00+00:00,6.18,4.31,1.016,MAINTENANCE
2024-08-18 00:49:00+00:00,6.18,4.31,1.015,MAINTENANCE
2024-08-18 00:50:00+00:00,6.18,4.25,1.013,MAINTENANCE
2024-08-18 00:51:00+00:00,6.25,4.25,1.013,MAINTENANCE
2024-08-18 00:52:00+00:00,6.18,4.31,1.0,MAINTENANCE
2024-08-18 00:53:00+00:00,6.25,4.25,1.037,MAINTENANCE
2024-08-18 00:54:00+00:00,6.25,4.25,0.961,MAINTENANCE
2024-08-18 00:55:00+00:00,6.25,4.31,0.998,MAINTENANCE
2024-08-18 00:56:00+00:00,6.25,4.25,1.034,MAINTENANCE
2024-08-18 00:57:00+00:00,6.25,4.31,1.002,MAINTENANCE
2024-08-18 00:58:00+00:00,6.18,4.25,1.006,MAINTENANCE
2024-08-18 00:59:00+00:00,6.25,4.25,1.016,MAINTENANCE
2024-08-18 01:00:00+00:00,6.18,4.25,1.014,MAINTENANCE
2024-08-18 01:01:00+00:00,6.25,4.25,1.015,MAINTENANCE
