DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX,ETIQUETA
2024-08-20 00:41:00+00:00,6.31,4.31,1.007,MAINTENANCE
2024-08-20 00:42:00+00:00,6.31,4.31,1.014,MAINTENANCE
2024-08-20 00:43:00+00:00,6.31,4.25,1.013,MAINTENANCE
2024-08-20 00:44:00+00:00,6.31,4.25,1.013,MAINTENANCE
2024-08-20 00:45:00+00:00,6.31,4.31,1.013,MAINTENANCE
2024-08-20 00:46:00+00:00,6.31,4.25,1.015,MAINTENANCE
2024-08-20 00:47:00+00:00,6.37,4.25,1.015,MAINTENANCE
2024-08-20 00:48:00+00:00,6.31,4.25,1.014,MAINTENANCE
2024-08-20 00:49:00+00:00,6.37,4.31,0.986,MAINTENANCE
2024-08-20 00:50:00+00:00,6.37,4.31,0.968,MAINTENANCE
2024-08-20 00:51:00+00:00,6.37,4.31,1.006,MAINTENANCE
2024-08-20 00:52:00+00:00,6.37,4.31,1.029,MAINTENANCE
2024-08-20 00:53:00+00:00,6.37,4.31,1.037,MAINTENANCE
2024-08-20 00:54:00+00:00,6.37,4.31,1.035,MAINTENANCE
2024-08-20 00:55:00+00:00,6.37,4.31,1.035,MAINTENANCE
2024-08-20 00:56:00+00:00,6.37,4.25,1.013,MAINTENANCE
2024-08-20 00:57:00+00:00,6.37,4.31,1.01,MAINTENANCE
2024-08-20 00:58:00+00:00,6.37,4.25,1.014,MAINTENANCE
2024-08-20 00:59:00+00:00,6.37,4.31,1.015,MAINTENANCE
2024-08-20 01:00:00+00:00,6.37,4.31,1.015,MAINTENANCE
2024-08-20 01:01:00+00:00,6.37,4.31,1.014,MAINTENANCE
2024-08-20 01:02:00+00:00,6.37,4.31,1.012,MAINTENANCE
2024-08-20 01:03:00+00:00,6.37,4.31,1.014,MAINTENANCE
2024-08-20 01:04:00+00:00,6.37,4.31,0.967,MAINTENANCE
2024-08-20 01:05:00+00:00,6.37,4.31,1.018,MAINTENANCE
2024-08-20 01:06:00+00:00,6.37,4.31,0.932,MAINTENANCE
2024-08-20 01:07:00+00:00,6.37,4.31,1.016,MAINTENANCE
2024-08-20 01:08:00+00:00,6.43,4.31,1.009,MAINTENANCE
2024-08-20 01:09:00+00:00,6.37,4.31,1.005,MAINTENANCE
