Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1723852055;16/08/24;23:47:35;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723852115;16/08/24;23:48:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723852175;16/08/24;23:49:35;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723852235;16/08/24;23:50:35;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723852295;16/08/24;23:51:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723852355;16/08/24;23:52:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723852415;16/08/24;23:53:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723852475;16/08/24;23:54:35;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723852535;16/08/24;23:55:35;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723852595;16/08/24;23:56:35;-127.0;4.25;6.06
01:00:01:00:00:00:00;1723852655;16/08/24;23:57:35;-127.0;4.18;6.06
01:00:01:00:00:00:00;1723852715;16/08/24;23:58:35;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723852775;16/08/24;23:59:35;-127.0;4.25;6.12
01:00:01:00:00:00:00;1723852835;17/08/24;00:00:35;-127.0;4.25;6.06
01:00:01:00:00:00:00;1723852895;17/08/24;00:01:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723852955;17/08/24;00:02:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723853015;17/08/24;00:03:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723853075;17/08/24;00:04:35;-127.0;4.31;5.93
01:00:01:00:00:00:00;1723853135;17/08/24;00:05:35;-127.0;4.31;5.93
01:00:01:00:00:00:00;1723853195;17/08/24;00:06:35;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723853255;17/08/24;00:07:35;-127.0;4.31;5.93
01:00:01:00:00:00:00;1723853315;17/08/24;00:08:35;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723853370;17/08/24;00:09:30;-127.0;4.31;6.0
01:00:01:00:00:00:00;1723853430;17/08/24;00:10:30;-127.0;4.31;6.06
01:00:01:00:00:00:00;1723853490;17/08/24;00:11:30;-127.0;4.25;6.06
01:00:01:00:00:00:00;1723853550;17/08/24;00:12:30;-127.0;4.25;6.12
01:00:01:00:00:00:00;1723853610;17/08/24;00:13:30;-127.0;4.31;6.18
01:00:01:00:00:00:00;1723853670;17/08/24;00:14:30;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723853730;17/08/24;00:15:30;-127.0;4.31;6.0
01:00:01:00:00:00:00;1723853790;17/08/24;00:16:30;-127.0;4.31;6.0
01:00:01:00:00:00:00;1723853850;17/08/24;00:17:30;-127.0;4.31;6.0
01:00:01:00:00:00:00;1723853910;17/08/24;00:18:30;-127.0;4.37;5.93
01:00:01:00:00:00:00;1723853970;17/08/24;00:19:30;-127.0;4.25;6.0
