Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1727222168;24/09/24;23:56:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222228;24/09/24;23:57:08;-127.0;4.12;5.43
01:00:01:00:00:00:00;1727222288;24/09/24;23:58:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222348;24/09/24;23:59:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222408;25/09/24;00:00:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222468;25/09/24;00:01:08;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727222528;25/09/24;00:02:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222588;25/09/24;00:03:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222648;25/09/24;00:04:08;-127.0;4.12;5.43
01:00:01:00:00:00:00;1727222708;25/09/24;00:05:08;-127.0;4.12;5.43
01:00:01:00:00:00:00;1727222768;25/09/24;00:06:08;-127.0;4.12;5.37
01:00:01:00:00:00:00;1727222828;25/09/24;00:07:08;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727222888;25/09/24;00:08:08;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727222947;25/09/24;00:09:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223007;25/09/24;00:10:07;-127.0;4.12;5.56
01:00:01:00:00:00:00;1727223067;25/09/24;00:11:07;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727223127;25/09/24;00:12:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223187;25/09/24;00:13:07;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727223247;25/09/24;00:14:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223307;25/09/24;00:15:07;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727223367;25/09/24;00:16:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223427;25/09/24;00:17:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223487;25/09/24;00:18:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223547;25/09/24;00:19:07;-127.0;4.12;5.5
01:00:01:00:00:00:00;1727223607;25/09/24;00:20:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223667;25/09/24;00:21:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223727;25/09/24;00:22:07;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727223787;25/09/24;00:23:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223847;25/09/24;00:24:07;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727223907;25/09/24;00:25:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727223967;25/09/24;00:26:07;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727224027;25/09/24;00:27:07;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727224087;25/09/24;00:28:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224147;25/09/24;00:29:07;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224202;25/09/24;00:30:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224262;25/09/24;00:31:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224322;25/09/24;00:32:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224382;25/09/24;00:33:02;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727224442;25/09/24;00:34:02;-127.0;4.12;5.43
01:00:01:00:00:00:00;1727224502;25/09/24;00:35:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224562;25/09/24;00:36:02;-127.0;4.12;5.5
01:00:01:00:00:00:00;1727224622;25/09/24;00:37:02;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727224682;25/09/24;00:38:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224742;25/09/24;00:39:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727224802;25/09/24;00:40:02;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727224862;25/09/24;00:41:02;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727224922;25/09/24;00:42:02;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727224982;25/09/24;00:43:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727225042;25/09/24;00:44:02;-127.0;4.18;5.43
01:00:01:00:00:00:00;1727225102;25/09/24;00:45:02;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727225161;25/09/24;00:46:01;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727225221;25/09/24;00:47:01;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727225281;25/09/24;00:48:01;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727225341;25/09/24;00:49:01;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727225401;25/09/24;00:50:01;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727225461;25/09/24;00:51:01;-127.0;4.12;5.5
01:00:01:00:00:00:00;1727225521;25/09/24;00:52:01;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727225581;25/09/24;00:53:01;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727225641;25/09/24;00:54:01;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727225701;25/09/24;00:55:01;-127.0;4.25;5.5
01:00:01:00:00:00:00;1727225761;25/09/24;00:56:01;-127.0;4.18;5.62
01:00:01:00:00:00:00;1727225821;25/09/24;00:57:01;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727225881;25/09/24;00:58:01;-127.0;4.18;5.56
01:00:01:00:00:00:00;1727225941;25/09/24;00:59:01;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727226001;25/09/24;01:00:01;-127.0;4.18;5.62
01:00:01:00:00:00:00;1727226061;25/09/24;01:01:01;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727226121;25/09/24;01:02:01;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727226181;25/09/24;01:03:01;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727226241;25/09/24;01:04:01;-127.0;4.18;5.5
01:00:01:00:00:00:00;1727226301;25/09/24;01:05:01;-127.0;4.25;5.56
01:00:01:00:00:00:00;1727226361;25/09/24;01:06:01;-127.0;4.18;5.56
