Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1724110763;19/08/24;23:39:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724110823;19/08/24;23:40:23;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724110883;19/08/24;23:41:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724110943;19/08/24;23:42:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111003;19/08/24;23:43:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111063;19/08/24;23:44:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111123;19/08/24;23:45:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111183;19/08/24;23:46:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111243;19/08/24;23:47:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111303;19/08/24;23:48:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111363;19/08/24;23:49:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111423;19/08/24;23:50:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111483;19/08/24;23:51:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111543;19/08/24;23:52:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111603;19/08/24;23:53:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111663;19/08/24;23:54:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724111723;19/08/24;23:55:23;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724111783;19/08/24;23:56:23;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724111843;19/08/24;23:57:23;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724111903;19/08/24;23:58:23;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724111963;19/08/24;23:59:23;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112023;20/08/24;00:00:23;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724112079;20/08/24;00:01:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112139;20/08/24;00:02:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112199;20/08/24;00:03:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112259;20/08/24;00:04:19;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724112319;20/08/24;00:05:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112379;20/08/24;00:06:19;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724112439;20/08/24;00:07:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112499;20/08/24;00:08:19;-127.0;4.31;6.31
01:00:01:00:00:00:00;1724112559;20/08/24;00:09:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112619;20/08/24;00:10:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112679;20/08/24;00:11:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112739;20/08/24;00:12:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112799;20/08/24;00:13:19;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724112859;20/08/24;00:14:19;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724112919;20/08/24;00:15:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724112979;20/08/24;00:16:19;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113038;20/08/24;00:17:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113098;20/08/24;00:18:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113158;20/08/24;00:19:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113218;20/08/24;00:20:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113278;20/08/24;00:21:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113338;20/08/24;00:22:18;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724113398;20/08/24;00:23:18;-127.0;4.31;6.37
01:00:01:00:00:00:00;1724113458;20/08/24;00:24:18;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724113518;20/08/24;00:25:18;-127.0;4.31;6.31
01:00:01:00:00:00:00;1724113578;20/08/24;00:26:18;-127.0;4.25;6.37
01:00:01:00:00:00:00;1724113638;20/08/24;00:27:18;-127.0;4.31;6.31
01:00:01:00:00:00:00;1724113698;20/08/24;00:28:18;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724113758;20/08/24;00:29:18;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724113818;20/08/24;00:30:18;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724113878;20/08/24;00:31:18;-127.0;4.25;6.31
01:00:01:00:00:00:00;1724113938;20/08/24;00:32:18;-127.0;4.31;6.31
01:00:01:00:00:00:00;1724113998;20/08/24;00:33:18;-127.0;4.31;6.31
