Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1723334236;10/08/24;23:57:16;-127.0;4.31;6.37
01:00:01:00:00:00:00;1723334296;10/08/24;23:58:16;-127.0;4.31;6.37
01:00:01:00:00:00:00;1723334356;10/08/24;23:59:16;-127.0;4.31;6.25
01:00:01:00:00:00:00;1723334416;11/08/24;00:00:16;-127.0;4.31;6.18
01:00:01:00:00:00:00;1723334476;11/08/24;00:01:16;-127.0;4.31;6.12
01:00:01:00:00:00:00;1723334536;11/08/24;00:02:16;-127.0;4.31;6.12
01:00:01:00:00:00:00;1723334596;11/08/24;00:03:16;-127.0;4.31;6.12
01:00:01:00:00:00:00;1723334656;11/08/24;00:04:16;-127.0;4.31;6.12
01:00:01:00:00:00:00;1723334716;11/08/24;00:05:16;-127.0;4.37;6.12
01:00:01:00:00:00:00;1723334776;11/08/24;00:06:16;-127.0;4.37;6.18
01:00:01:00:00:00:00;1723334836;11/08/24;00:07:16;-127.0;4.31;6.18
01:00:01:00:00:00:00;1723334896;11/08/24;00:08:16;-127.0;4.31;6.31
01:00:01:00:00:00:00;1723334956;11/08/24;00:09:16;-127.0;4.31;6.31
01:00:01:00:00:00:00;1723335015;11/08/24;00:10:15;-127.0;4.37;6.31
01:00:01:00:00:00:00;1723335075;11/08/24;00:11:15;-127.0;4.31;6.37
01:00:01:00:00:00:00;1723335135;11/08/24;00:12:15;-127.0;4.31;6.43
01:00:01:00:00:00:00;1723335195;11/08/24;00:13:15;-127.0;4.37;6.31
01:00:01:00:00:00:00;1723335255;11/08/24;00:14:15;-127.0;4.37;6.12
01:00:01:00:00:00:00;1723335315;11/08/24;00:15:15;-127.0;4.31;6.06
01:00:01:00:00:00:00;1723335375;11/08/24;00:16:15;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723335435;11/08/24;00:17:15;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723335495;11/08/24;00:18:15;-127.0;4.31;6.06
01:00:01:00:00:00:00;1723335555;11/08/24;00:19:15;-127.0;4.31;6.0
01:00:01:00:00:00:00;1723335615;11/08/24;00:20:15;-127.0;4.43;6.06
01:00:01:00:00:00:00;1723335675;11/08/24;00:21:15;-127.0;4.37;6.06
01:00:01:00:00:00:00;1723335735;11/08/24;00:22:15;-127.0;4.37;6.12
01:00:01:00:00:00:00;1723335795;11/08/24;00:23:15;-127.0;4.37;6.12
01:00:01:00:00:00:00;1723335855;11/08/24;00:24:15;-127.0;4.37;6.18
01:00:01:00:00:00:00;1723335915;11/08/24;00:25:15;-127.0;4.31;6.25
01:00:01:00:00:00:00;1723335975;11/08/24;00:26:15;-127.0;4.31;6.31
01:00:01:00:00:00:00;1723336035;11/08/24;00:27:15;-127.0;4.31;6.31
01:00:01:00:00:00:00;1723336095;11/08/24;00:28:15;-127.0;4.37;6.31
01:00:01:00:00:00:00;1723336155;11/08/24;00:29:15;-127.0;4.37;6.06
01:00:01:00:00:00:00;1723336215;11/08/24;00:30:15;-127.0;4.37;5.93
01:00:01:00:00:00:00;1723336269;11/08/24;00:31:09;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723336329;11/08/24;00:32:09;-127.0;4.37;5.93
01:00:01:00:00:00:00;1723336389;11/08/24;00:33:09;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723336449;11/08/24;00:34:09;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723336509;11/08/24;00:35:09;-127.0;4.43;6.0
01:00:01:00:00:00:00;1723336569;11/08/24;00:36:09;-127.0;4.43;6.0
01:00:01:00:00:00:00;1723336629;11/08/24;00:37:09;-127.0;4.37;6.0
01:00:01:00:00:00:00;1723336689;11/08/24;00:38:09;-127.0;4.43;6.12
01:00:01:00:00:00:00;1723336749;11/08/24;00:39:09;-127.0;4.37;6.18
01:00:01:00:00:00:00;1723336809;11/08/24;00:40:09;-127.0;4.37;6.18
01:00:01:00:00:00:00;1723336869;11/08/24;00:41:09;-127.0;4.43;6.18
01:00:01:00:00:00:00;1723336929;11/08/24;00:42:09;-127.0;4.43;6.25
01:00:01:00:00:00:00;1723336989;11/08/24;00:43:09;-127.0;4.37;6.31
01:00:01:00:00:00:00;1723337049;11/08/24;00:44:09;-127.0;4.43;6.31
01:00:01:00:00:00:00;1723337109;11/08/24;00:45:09;-127.0;4.37;6.12
01:00:01:00:00:00:00;1723337169;11/08/24;00:46:09;-127.0;4.31;6.06
01:00:01:00:00:00:00;1723337228;11/08/24;00:47:08;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723337288;11/08/24;00:48:08;-127.0;4.12;5.87
01:00:01:00:00:00:00;1723337348;11/08/24;00:49:08;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723337408;11/08/24;00:50:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337468;11/08/24;00:51:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337528;11/08/24;00:52:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337588;11/08/24;00:53:08;-127.0;3.93;5.68
01:00:01:00:00:00:00;1723337648;11/08/24;00:54:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337708;11/08/24;00:55:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337768;11/08/24;00:56:08;-127.0;4.0;5.68
01:00:01:00:00:00:00;1723337828;11/08/24;00:57:08;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723337888;11/08/24;00:58:08;-127.0;3.93;5.81
01:00:01:00:00:00:00;1723337948;11/08/24;00:59:08;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723338008;11/08/24;01:00:08;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723338068;11/08/24;01:01:08;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723338128;11/08/24;01:02:08;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723338188;11/08/24;01:03:08;-127.0;3.93;5.87
01:00:01:00:00:00:00;1723338248;11/08/24;01:04:08;-127.0;4.0;5.62
01:00:01:00:00:00:00;1723338308;11/08/24;01:05:08;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338368;11/08/24;01:06:08;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338428;11/08/24;01:07:08;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338488;11/08/24;01:08:08;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338547;11/08/24;01:09:07;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338607;11/08/24;01:10:07;-127.0;4.0;5.56
01:00:01:00:00:00:00;1723338667;11/08/24;01:11:07;-127.0;4.0;5.62
01:00:01:00:00:00:00;1723338727;11/08/24;01:12:07;-127.0;3.93;5.62
01:00:01:00:00:00:00;1723338787;11/08/24;01:13:07;-127.0;3.93;5.68
01:00:01:00:00:00:00;1723338847;11/08/24;01:14:07;-127.0;3.93;5.68
01:00:01:00:00:00:00;1723338907;11/08/24;01:15:07;-127.0;3.93;5.75
01:00:01:00:00:00:00;1723338967;11/08/24;01:16:07;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723339027;11/08/24;01:17:07;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723339087;11/08/24;01:18:07;-127.0;3.93;5.87
01:00:01:00:00:00:00;1723339147;11/08/24;01:19:07;-127.0;3.93;5.81
01:00:01:00:00:00:00;1723339207;11/08/24;01:20:07;-127.0;3.93;5.75
01:00:01:00:00:00:00;1723339267;11/08/24;01:21:07;-127.0;4.0;5.75
01:00:01:00:00:00:00;1723339327;11/08/24;01:22:07;-127.0;3.93;5.75
01:00:01:00:00:00:00;1723339387;11/08/24;01:23:07;-127.0;3.93;5.75
01:00:01:00:00:00:00;1723339447;11/08/24;01:24:07;-127.0;3.93;5.81
01:00:01:00:00:00:00;1723339507;11/08/24;01:25:07;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723339567;11/08/24;01:26:07;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723339627;11/08/24;01:27:07;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723339687;11/08/24;01:28:07;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723339747;11/08/24;01:29:07;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723339807;11/08/24;01:30:07;-127.0;3.93;6.0
01:00:01:00:00:00:00;1723339862;11/08/24;01:31:02;-127.0;3.93;6.0
01:00:01:00:00:00:00;1723339922;11/08/24;01:32:02;-127.0;3.93;6.06
01:00:01:00:00:00:00;1723339982;11/08/24;01:33:02;-127.0;3.93;6.06
01:00:01:00:00:00:00;1723340042;11/08/24;01:34:02;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723340102;11/08/24;01:35:02;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723340162;11/08/24;01:36:02;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723340222;11/08/24;01:37:02;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723340282;11/08/24;01:38:02;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723340342;11/08/24;01:39:02;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723340402;11/08/24;01:40:02;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723340462;11/08/24;01:41:02;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723340522;11/08/24;01:42:02;-127.0;4.0;6.0
01:00:01:00:00:00:00;1723340582;11/08/24;01:43:02;-127.0;4.0;6.0
01:00:01:00:00:00:00;1723340642;11/08/24;01:44:02;-127.0;4.0;6.06
01:00:01:00:00:00:00;1723340702;11/08/24;01:45:02;-127.0;4.06;6.06
01:00:01:00:00:00:00;1723340762;11/08/24;01:46:02;-127.0;4.06;6.06
01:00:01:00:00:00:00;1723340821;11/08/24;01:47:01;-127.0;4.0;6.12
01:00:01:00:00:00:00;1723340881;11/08/24;01:48:01;-127.0;4.0;6.12
01:00:01:00:00:00:00;1723340941;11/08/24;01:49:01;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723341001;11/08/24;01:50:01;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723341061;11/08/24;01:51:01;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723341121;11/08/24;01:52:01;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723341181;11/08/24;01:53:01;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723341241;11/08/24;01:54:01;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723341301;11/08/24;01:55:01;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723341361;11/08/24;01:56:01;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723341421;11/08/24;01:57:01;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723341481;11/08/24;01:58:01;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723341541;11/08/24;01:59:01;-127.0;4.0;5.93
01:00:01:00:00:00:00;1723341601;11/08/24;02:00:01;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723341661;11/08/24;02:01:01;-127.0;4.0;6.0
01:00:01:00:00:00:00;1723341721;11/08/24;02:02:01;-127.0;4.0;6.06
01:00:01:00:00:00:00;1723341781;11/08/24;02:03:01;-127.0;4.06;6.12
01:00:01:00:00:00:00;1723341841;11/08/24;02:04:01;-127.0;4.06;5.93
01:00:01:00:00:00:00;1723341901;11/08/24;02:05:01;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723341961;11/08/24;02:06:01;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723342021;11/08/24;02:07:01;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723342081;11/08/24;02:08:01;-127.0;4.0;5.81
01:00:01:00:00:00:00;1723342140;11/08/24;02:09:00;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723342200;11/08/24;02:10:00;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723342260;11/08/24;02:11:00;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723342320;11/08/24;02:12:00;-127.0;4.0;5.87
01:00:01:00:00:00:00;1723342380;11/08/24;02:13:00;-127.0;4.06;5.93
01:00:01:00:00:00:00;1723342440;11/08/24;02:14:00;-127.0;4.06;5.93
01:00:01:00:00:00:00;1723342500;11/08/24;02:15:00;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723342560;11/08/24;02:16:00;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723342620;11/08/24;02:17:00;-127.0;4.06;6.06
01:00:01:00:00:00:00;1723342680;11/08/24;02:18:00;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723342740;11/08/24;02:19:00;-127.0;4.06;5.93
01:00:01:00:00:00:00;1723342800;11/08/24;02:20:00;-127.0;4.12;5.75
01:00:01:00:00:00:00;1723342860;11/08/24;02:21:00;-127.0;4.06;5.75
01:00:01:00:00:00:00;1723342920;11/08/24;02:22:00;-127.0;4.06;5.75
01:00:01:00:00:00:00;1723342980;11/08/24;02:23:00;-127.0;4.06;5.68
01:00:01:00:00:00:00;1723343040;11/08/24;02:24:00;-127.0;4.06;5.68
01:00:01:00:00:00:00;1723343100;11/08/24;02:25:00;-127.0;4.06;5.75
01:00:01:00:00:00:00;1723343160;11/08/24;02:26:00;-127.0;4.06;5.75
01:00:01:00:00:00:00;1723343220;11/08/24;02:27:00;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723343280;11/08/24;02:28:00;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723343340;11/08/24;02:29:00;-127.0;4.06;5.87
01:00:01:00:00:00:00;1723343400;11/08/24;02:30:00;-127.0;4.06;5.87
01:00:01:00:00:00:00;1723343454;11/08/24;02:30:54;-127.0;4.12;5.87
01:00:01:00:00:00:00;1723343514;11/08/24;02:31:54;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723343574;11/08/24;02:32:54;-127.0;4.12;6.0
01:00:01:00:00:00:00;1723343634;11/08/24;02:33:54;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723343694;11/08/24;02:34:54;-127.0;4.12;5.75
01:00:01:00:00:00:00;1723343754;11/08/24;02:35:54;-127.0;4.12;5.81
01:00:01:00:00:00:00;1723343814;11/08/24;02:36:54;-127.0;4.12;5.75
01:00:01:00:00:00:00;1723343874;11/08/24;02:37:54;-127.0;4.06;5.81
01:00:01:00:00:00:00;1723343934;11/08/24;02:38:54;-127.0;4.06;5.75
01:00:01:00:00:00:00;1723343994;11/08/24;02:39:54;-127.0;4.12;5.81
01:00:01:00:00:00:00;1723344054;11/08/24;02:40:54;-127.0;4.12;5.87
01:00:01:00:00:00:00;1723344114;11/08/24;02:41:54;-127.0;4.06;5.87
01:00:01:00:00:00:00;1723344174;11/08/24;02:42:54;-127.0;4.06;5.87
01:00:01:00:00:00:00;1723344234;11/08/24;02:43:54;-127.0;4.12;6.0
01:00:01:00:00:00:00;1723344294;11/08/24;02:44:54;-127.0;4.06;5.93
01:00:01:00:00:00:00;1723344354;11/08/24;02:45:54;-127.0;4.06;6.0
01:00:01:00:00:00:00;1723344413;11/08/24;02:46:53;-127.0;4.12;6.06
01:00:01:00:00:00:00;1723344473;11/08/24;02:47:53;-127.0;4.06;6.12
01:00:01:00:00:00:00;1723344533;11/08/24;02:48:53;-127.0;4.12;6.06
01:00:01:00:00:00:00;1723344593;11/08/24;02:49:53;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723344653;11/08/24;02:50:53;-127.0;4.12;5.87
01:00:01:00:00:00:00;1723344713;11/08/24;02:51:53;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723344773;11/08/24;02:52:53;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723344833;11/08/24;02:53:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723344893;11/08/24;02:54:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723344953;11/08/24;02:55:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723345013;11/08/24;02:56:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723345073;11/08/24;02:57:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723345133;11/08/24;02:58:53;-127.0;4.12;6.06
01:00:01:00:00:00:00;1723345193;11/08/24;02:59:53;-127.0;4.12;6.0
01:00:01:00:00:00:00;1723345253;11/08/24;03:00:53;-127.0;4.12;6.06
01:00:01:00:00:00:00;1723345313;11/08/24;03:01:53;-127.0;4.12;6.12
01:00:01:00:00:00:00;1723345373;11/08/24;03:02:53;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723345433;11/08/24;03:03:53;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723345493;11/08/24;03:04:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723345553;11/08/24;03:05:53;-127.0;4.12;5.93
01:00:01:00:00:00:00;1723345613;11/08/24;03:06:53;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723345673;11/08/24;03:07:53;-127.0;4.18;5.81
01:00:01:00:00:00:00;1723345733;11/08/24;03:08:53;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723345792;11/08/24;03:09:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723345852;11/08/24;03:10:52;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723345912;11/08/24;03:11:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723345972;11/08/24;03:12:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723346032;11/08/24;03:13:52;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723346092;11/08/24;03:14:52;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723346152;11/08/24;03:15:52;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723346212;11/08/24;03:16:52;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723346272;11/08/24;03:17:52;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723346332;11/08/24;03:18:52;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723346392;11/08/24;03:19:52;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723346452;11/08/24;03:20:52;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723346512;11/08/24;03:21:52;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723346572;11/08/24;03:22:52;-127.0;4.18;5.87
01:00:01:00:00:00:00;1723346632;11/08/24;03:23:52;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723346692;11/08/24;03:24:52;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723346752;11/08/24;03:25:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723346812;11/08/24;03:26:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723346872;11/08/24;03:27:52;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723346932;11/08/24;03:28:52;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723346992;11/08/24;03:29:52;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723347047;11/08/24;03:30:47;-127.0;4.18;6.06
01:00:01:00:00:00:00;1723347107;11/08/24;03:31:47;-127.0;4.25;6.12
01:00:01:00:00:00:00;1723347167;11/08/24;03:32:47;-127.0;4.25;6.12
01:00:01:00:00:00:00;1723347227;11/08/24;03:33:47;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723347287;11/08/24;03:34:47;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723347347;11/08/24;03:35:47;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723347407;11/08/24;03:36:47;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723347467;11/08/24;03:37:47;-127.0;4.25;5.87
01:00:01:00:00:00:00;1723347527;11/08/24;03:38:47;-127.0;4.25;5.93
01:00:01:00:00:00:00;1723347587;11/08/24;03:39:47;-127.0;4.18;5.93
01:00:01:00:00:00:00;1723347647;11/08/24;03:40:47;-127.0;4.18;6.0
01:00:01:00:00:00:00;1723347707;11/08/24;03:41:47;-127.0;4.31;5.93
01:00:01:00:00:00:00;1723347767;11/08/24;03:42:47;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723347827;11/08/24;03:43:47;-127.0;4.25;6.0
01:00:01:00:00:00:00;1723347887;11/08/24;03:44:47;-127.0;4.25;6.06
