Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1726011967;10/09/24;23:46:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012027;10/09/24;23:47:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012087;10/09/24;23:48:07;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726012147;10/09/24;23:49:07;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726012207;10/09/24;23:50:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012267;10/09/24;23:51:07;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726012327;10/09/24;23:52:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012387;10/09/24;23:53:07;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726012447;10/09/24;23:54:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012507;10/09/24;23:55:07;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726012567;10/09/24;23:56:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012627;10/09/24;23:57:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012687;10/09/24;23:58:07;-127.0;4.18;6.25
01:00:01:00:00:00:00;1726012747;10/09/24;23:59:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012807;11/09/24;00:00:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012867;11/09/24;00:01:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012927;11/09/24;00:02:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726012987;11/09/24;00:03:07;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013046;11/09/24;00:04:06;-127.0;4.18;6.31
01:00:01:00:00:00:00;1726013106;11/09/24;00:05:06;-127.0;4.18;6.25
01:00:01:00:00:00:00;1726013166;11/09/24;00:06:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013226;11/09/24;00:07:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013286;11/09/24;00:08:06;-127.0;4.31;6.25
01:00:01:00:00:00:00;1726013346;11/09/24;00:09:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013406;11/09/24;00:10:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013466;11/09/24;00:11:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013526;11/09/24;00:12:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013586;11/09/24;00:13:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013646;11/09/24;00:14:06;-127.0;4.31;6.25
01:00:01:00:00:00:00;1726013706;11/09/24;00:15:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013766;11/09/24;00:16:06;-127.0;4.31;6.25
01:00:01:00:00:00:00;1726013826;11/09/24;00:17:06;-127.0;4.25;6.25
01:00:01:00:00:00:00;1726013886;11/09/24;00:18:06;-127.0;4.25;6.31
01:00:01:00:00:00:00;1726013946;11/09/24;00:19:06;-127.0;4.25;6.31
