Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1725493418;04/09/24;23:43:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493478;04/09/24;23:44:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493538;04/09/24;23:45:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493598;04/09/24;23:46:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493658;04/09/24;23:47:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493718;04/09/24;23:48:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493778;04/09/24;23:49:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493838;04/09/24;23:50:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725493898;04/09/24;23:51:38;-127.0;4.18;6.37
01:00:01:00:00:00:00;1725493958;04/09/24;23:52:38;-127.0;4.25;6.31
01:00:01:00:00:00:00;1725494018;04/09/24;23:53:38;-127.0;4.25;6.31
01:00:01:00:00:00:00;1725494078;04/09/24;23:54:38;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494137;04/09/24;23:55:37;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494197;04/09/24;23:56:37;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494257;04/09/24;23:57:37;-127.0;4.25;6.31
01:00:01:00:00:00:00;1725494317;04/09/24;23:58:37;-127.0;4.18;6.25
01:00:01:00:00:00:00;1725494377;04/09/24;23:59:37;-127.0;4.25;6.31
01:00:01:00:00:00:00;1725494437;05/09/24;00:00:37;-127.0;4.18;6.25
01:00:01:00:00:00:00;1725494497;05/09/24;00:01:37;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494557;05/09/24;00:02:37;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494617;05/09/24;00:03:37;-127.0;4.18;6.31
01:00:01:00:00:00:00;1725494677;05/09/24;00:04:37;-127.0;4.18;6.25
