Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1723074131;07/08/24;23:42:11;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723074191;07/08/24;23:43:11;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723074251;07/08/24;23:44:11;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723074311;07/08/24;23:45:11;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723074371;07/08/24;23:46:11;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723074431;07/08/24;23:47:11;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723074491;07/08/24;23:48:11;-127.0;4.18;6.5
01:00:01:00:00:00:00;1723074551;07/08/24;23:49:11;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723074611;07/08/24;23:50:11;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723074671;07/08/24;23:51:11;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723074731;07/08/24;23:52:11;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723074791;07/08/24;23:53:11;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723074851;07/08/24;23:54:11;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723074911;07/08/24;23:55:11;-127.0;4.18;6.37
01:00:01:00:00:00:00;1723074970;07/08/24;23:56:10;-127.0;4.25;6.37
01:00:01:00:00:00:00;1723075030;07/08/24;23:57:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075090;07/08/24;23:58:10;-127.0;4.25;6.37
01:00:01:00:00:00:00;1723075150;07/08/24;23:59:10;-127.0;4.18;6.37
01:00:01:00:00:00:00;1723075210;08/08/24;00:00:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075270;08/08/24;00:01:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075330;08/08/24;00:02:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075390;08/08/24;00:03:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075450;08/08/24;00:04:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075510;08/08/24;00:05:10;-127.0;4.25;6.37
01:00:01:00:00:00:00;1723075570;08/08/24;00:06:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075630;08/08/24;00:07:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075690;08/08/24;00:08:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075750;08/08/24;00:09:10;-127.0;4.25;6.37
01:00:01:00:00:00:00;1723075810;08/08/24;00:10:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723075870;08/08/24;00:11:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075930;08/08/24;00:12:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723075990;08/08/24;00:13:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723076050;08/08/24;00:14:10;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723076110;08/08/24;00:15:10;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076170;08/08/24;00:16:10;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723076230;08/08/24;00:17:10;-127.0;4.18;6.5
01:00:01:00:00:00:00;1723076289;08/08/24;00:18:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076349;08/08/24;00:19:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076409;08/08/24;00:20:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076469;08/08/24;00:21:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076529;08/08/24;00:22:09;-127.0;4.18;6.43
01:00:01:00:00:00:00;1723076589;08/08/24;00:23:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076649;08/08/24;00:24:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076709;08/08/24;00:25:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076769;08/08/24;00:26:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076829;08/08/24;00:27:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076889;08/08/24;00:28:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723076949;08/08/24;00:29:09;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077009;08/08/24;00:30:09;-127.0;4.31;6.5
01:00:01:00:00:00:00;1723077069;08/08/24;00:31:09;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077129;08/08/24;00:32:09;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077189;08/08/24;00:33:09;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077249;08/08/24;00:34:09;-127.0;4.25;6.56
01:00:01:00:00:00:00;1723077309;08/08/24;00:35:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723077369;08/08/24;00:36:09;-127.0;4.31;6.5
01:00:01:00:00:00:00;1723077429;08/08/24;00:37:09;-127.0;4.31;6.43
01:00:01:00:00:00:00;1723077489;08/08/24;00:38:09;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723077549;08/08/24;00:39:09;-127.0;4.31;6.43
01:00:01:00:00:00:00;1723077604;08/08/24;00:40:04;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723077664;08/08/24;00:41:04;-127.0;4.31;6.43
01:00:01:00:00:00:00;1723077724;08/08/24;00:42:04;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723077784;08/08/24;00:43:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077844;08/08/24;00:44:04;-127.0;4.31;6.43
01:00:01:00:00:00:00;1723077904;08/08/24;00:45:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723077964;08/08/24;00:46:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078024;08/08/24;00:47:04;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723078084;08/08/24;00:48:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078144;08/08/24;00:49:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078204;08/08/24;00:50:04;-127.0;4.25;6.43
01:00:01:00:00:00:00;1723078264;08/08/24;00:51:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078324;08/08/24;00:52:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078384;08/08/24;00:53:04;-127.0;4.25;6.5
01:00:01:00:00:00:00;1723078444;08/08/24;00:54:04;-127.0;4.25;6.56
01:00:01:00:00:00:00;1723078503;08/08/24;00:55:03;-127.0;4.25;6.56
01:00:01:00:00:00:00;1723078563;08/08/24;00:56:03;-127.0;4.31;6.5
01:00:01:00:00:00:00;1723078623;08/08/24;00:57:03;-127.0;4.31;6.56
01:00:01:00:00:00:00;1723078683;08/08/24;00:58:03;-127.0;4.31;6.56
01:00:01:00:00:00:00;1723078743;08/08/24;00:59:03;-127.0;4.31;6.5
01:00:01:00:00:00:00;1723078803;08/08/24;01:00:03;-127.0;4.31;6.56
