Source;Epoch timestamp (UTC);Date;Time (UTC);Submerged temperature (ºC);Surface temperature (ºC);Over surface temperature (ºC)
01:00:01:00:00:00:00;1723938291;17/08/24;23:44:51;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723938351;17/08/24;23:45:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723938411;17/08/24;23:46:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723938471;17/08/24;23:47:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723938531;17/08/24;23:48:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723938591;17/08/24;23:49:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723938651;17/08/24;23:50:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723938711;17/08/24;23:51:51;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723938771;17/08/24;23:52:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723938831;17/08/24;23:53:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723938891;17/08/24;23:54:51;-127.0;4.18;6.12
01:00:01:00:00:00:00;1723938951;17/08/24;23:55:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723939011;17/08/24;23:56:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723939071;17/08/24;23:57:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723939131;17/08/24;23:58:51;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939191;17/08/24;23:59:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723939251;18/08/24;00:00:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723939311;18/08/24;00:01:51;-127.0;4.18;6.18
01:00:01:00:00:00:00;1723939371;18/08/24;00:02:51;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723939431;18/08/24;00:03:51;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723939491;18/08/24;00:04:51;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939551;18/08/24;00:05:51;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723939607;18/08/24;00:06:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939667;18/08/24;00:07:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939727;18/08/24;00:08:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939787;18/08/24;00:09:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723939847;18/08/24;00:10:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723939907;18/08/24;00:11:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723939967;18/08/24;00:12:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723940027;18/08/24;00:13:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940087;18/08/24;00:14:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940147;18/08/24;00:15:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940207;18/08/24;00:16:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940267;18/08/24;00:17:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723940327;18/08/24;00:18:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723940387;18/08/24;00:19:47;-127.0;4.18;6.25
01:00:01:00:00:00:00;1723940447;18/08/24;00:20:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940507;18/08/24;00:21:47;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940566;18/08/24;00:22:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940626;18/08/24;00:23:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940686;18/08/24;00:24:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940746;18/08/24;00:25:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940806;18/08/24;00:26:46;-127.0;4.31;6.25
01:00:01:00:00:00:00;1723940866;18/08/24;00:27:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940926;18/08/24;00:28:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723940986;18/08/24;00:29:46;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723941046;18/08/24;00:30:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941106;18/08/24;00:31:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941166;18/08/24;00:32:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941226;18/08/24;00:33:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941286;18/08/24;00:34:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941346;18/08/24;00:35:46;-127.0;4.31;6.25
01:00:01:00:00:00:00;1723941406;18/08/24;00:36:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941466;18/08/24;00:37:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941526;18/08/24;00:38:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941586;18/08/24;00:39:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941646;18/08/24;00:40:46;-127.0;4.25;6.25
01:00:01:00:00:00:00;1723941706;18/08/24;00:41:46;-127.0;4.31;6.18
01:00:01:00:00:00:00;1723941766;18/08/24;00:42:46;-127.0;4.25;6.18
01:00:01:00:00:00:00;1723941826;18/08/24;00:43:46;-127.0;4.25;6.18
