DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX
2024-08-27 00:00:00+00:00,6.37,4.25,1.014
2024-08-27 00:01:00+00:00,6.18,4.25,0.702
2024-08-27 00:02:00+00:00,6.12,4.25,1.016
2024-08-27 00:03:00+00:00,6.0,4.25,1.018
2024-08-27 00:04:00+00:00,6.0,4.25,1.01
2024-08-27 00:05:00+00:00,6.0,4.25,1.014
2024-08-27 00:06:00+00:00,5.93,4.25,1.014
2024-08-27 00:07:00+00:00,6.0,4.25,1.016
2024-08-27 00:08:00+00:00,6.0,4.31,1.014
2024-08-27 00:09:00+00:00,6.06,4.25,1.014
2024-08-27 00:10:00+00:00,6.06,4.31,1.015
2024-08-27 00:11:00+00:00,6.12,4.25,1.015
2024-08-27 00:12:00+00:00,6.06,4.31,1.015
2024-08-27 00:13:00+00:00,6.18,4.25,1.014
2024-08-27 00:14:00+00:00,6.18,4.31,1.014
2024-08-27 00:15:00+00:00,6.25,4.25,1.015
2024-08-27 00:16:00+00:00,6.12,4.31,0.943
2024-08-27 00:17:00+00:00,6.12,4.31,1.008
2024-08-27 00:18:00+00:00,6.06,4.25,1.023
2024-08-27 00:19:00+00:00,6.06,4.25,1.03
2024-08-27 00:20:00+00:00,6.12,4.31,1.016
2024-08-27 00:21:00+00:00,6.12,4.31,1.013
2024-08-27 00:22:00+00:00,6.12,4.37,1.014
2024-08-27 00:23:00+00:00,6.12,4.31,1.014
2024-08-27 00:24:00+00:00,6.18,4.37,1.014
2024-08-27 00:25:00+00:00,6.18,4.37,1.013
2024-08-27 00:26:00+00:00,6.25,4.31,1.014
2024-08-27 00:27:00+00:00,6.25,4.37,1.014
2024-08-27 00:28:00+00:00,6.31,4.31,1.013
2024-08-27 00:29:00+00:00,6.37,4.31,1.014
2024-08-27 00:30:00+00:00,6.37,4.31,1.015
2024-08-27 00:31:00+00:00,6.18,4.37,0.652
2024-08-27 00:32:00+00:00,6.06,4.37,0.888
2024-08-27 00:33:00+00:00,6.0,4.37,0.996
2024-08-27 00:34:00+00:00,6.0,4.37,1.015
2024-08-27 00:35:00+00:00,6.0,4.37,1.013
2024-08-27 00:36:00+00:00,6.0,4.37,1.016
2024-08-27 00:37:00+00:00,6.0,4.37,1.016
2024-08-27 00:38:00+00:00,6.0,4.31,1.016
2024-08-27 00:39:00+00:00,6.06,4.37,1.016
2024-08-27 00:40:00+00:00,6.06,4.37,1.016
2024-08-27 00:41:00+00:00,6.12,4.31,1.016
2024-08-27 00:42:00+00:00,6.12,4.31,1.016
2024-08-27 00:43:00+00:00,6.18,4.37,1.016
2024-08-27 00:44:00+00:00,6.25,4.37,1.015
2024-08-27 00:45:00+00:00,6.25,4.31,1.015
2024-08-27 00:46:00+00:00,6.12,4.43,1.011
2024-08-27 00:47:00+00:00,6.06,4.37,0.968
2024-08-27 00:48:00+00:00,6.0,4.37,0.978
2024-08-27 00:49:00+00:00,5.93,4.25,1.06
2024-08-27 00:50:00+00:00,5.81,4.06,0.962
2024-08-27 00:51:00+00:00,5.75,4.0,0.744
2024-08-27 00:52:00+00:00,5.68,4.0,0.965
2024-08-27 00:53:00+00:00,5.62,3.93,1.039
2024-08-27 00:54:00+00:00,5.56,3.93,1.021
2024-08-27 00:55:00+00:00,5.62,3.93,1.012
2024-08-27 00:56:00+00:00,5.56,3.93,1.015
2024-08-27 00:57:00+00:00,5.62,3.87,1.014
2024-08-27 00:58:00+00:00,5.62,3.93,1.015
2024-08-27 00:59:00+00:00,5.62,3.93,1.015
2024-08-27 01:00:00+00:00,5.62,3.93,1.016
2024-08-27 01:01:00+00:00,5.68,3.93,1.016
2024-08-27 01:02:00+00:00,5.68,3.93,1.014
2024-08-27 01:03:00+00:00,5.75,3.93,1.014
2024-08-27 01:04:00+00:00,5.81,3.87,1.015
