Over surface temperature (ºC),Surface temperature (ºC),DateTime,AccelX
6.43,4.37,2024-08-20 01:49:11+00:00,1.018
6.37,4.31,2024-08-20 01:50:11+00:00,1.053
6.43,4.37,2024-08-20 01:51:11+00:00,1.032
6.43,4.37,2024-08-20 01:52:11+00:00,1.033
6.37,4.37,2024-08-20 01:53:11+00:00,1.015
6.37,4.37,2024-08-20 01:54:11+00:00,1.026
6.43,4.31,2024-08-20 01:55:11+00:00,1.006
6.43,4.37,2024-08-20 01:56:11+00:00,1.023
6.43,4.31,2024-08-20 01:57:11+00:00,1.021
6.43,4.31,2024-08-20 01:58:11+00:00,1.008
6.43,4.37,2024-08-20 01:59:11+00:00,1.014
6.43,4.37,2024-08-20 02:00:11+00:00,1.014
6.37,4.37,2024-08-20 02:01:06+00:00,1.015
6.43,4.37,2024-08-20 02:02:06+00:00,1.016
6.43,4.37,2024-08-20 02:03:06+00:00,1.015
6.43,4.31,2024-08-20 02:04:06+00:00,0.889
6.43,4.31,2024-08-20 02:05:06+00:00,1.002
6.43,4.37,2024-08-20 02:06:06+00:00,0.945
6.5,4.37,2024-08-20 02:07:06+00:00,1.037
6.43,4.37,2024-08-20 02:08:06+00:00,1.048
6.43,4.37,2024-08-20 02:09:06+00:00,1.035
6.37,4.31,2024-08-20 02:10:06+00:00,1.004
6.37,4.37,2024-08-20 02:11:06+00:00,1.005
6.43,4.37,2024-08-20 02:12:06+00:00,1.005
6.43,4.37,2024-08-20 02:13:06+00:00,1.016
6.43,4.37,2024-08-20 02:14:06+00:00,1.019
6.37,4.31,2024-08-20 02:15:06+00:00,1.016
6.37,4.37,2024-08-20 02:16:06+00:00,1.015
6.43,4.37,2024-08-20 02:17:05+00:00,1.015
6.43,4.37,2024-08-20 02:18:05+00:00,1.014
6.43,4.37,2024-08-20 02:19:05+00:00,0.982
6.43,4.37,2024-08-20 02:20:05+00:00,0.999
6.43,4.37,2024-08-20 02:21:05+00:00,0.976
6.43,4.37,2024-08-20 02:22:05+00:00,0.988
6.43,4.37,2024-08-20 02:23:05+00:00,0.985
6.43,4.43,2024-08-20 02:24:05+00:00,1.01
6.43,4.43,2024-08-20 02:25:05+00:00,1.032
6.43,4.37,2024-08-20 02:26:05+00:00,0.996
6.43,4.37,2024-08-20 02:27:05+00:00,1.008
6.43,4.37,2024-08-20 02:28:05+00:00,1.015
6.37,4.37,2024-08-20 02:29:05+00:00,1.013
6.43,4.37,2024-08-20 02:30:05+00:00,1.013
6.43,4.37,2024-08-20 02:31:05+00:00,1.015
6.43,4.43,2024-08-20 02:32:05+00:00,1.015
6.43,4.43,2024-08-20 02:33:05+00:00,1.014
6.37,4.43,2024-08-20 02:34:05+00:00,0.976
6.37,4.37,2024-08-20 02:35:05+00:00,0.864
6.43,4.37,2024-08-20 02:36:05+00:00,1.029
6.43,4.37,2024-08-20 02:37:05+00:00,1.012
6.43,4.37,2024-08-20 02:38:05+00:00,1.048
6.43,4.37,2024-08-20 02:39:04+00:00,1.041
6.43,4.37,2024-08-20 02:40:04+00:00,1.007
6.43,4.37,2024-08-20 02:41:04+00:00,1.004
6.43,4.43,2024-08-20 02:42:04+00:00,1.016
6.43,4.37,2024-08-20 02:43:04+00:00,1.011
6.37,4.43,2024-08-20 02:44:04+00:00,1.013
6.43,4.37,2024-08-20 02:45:04+00:00,1.013
6.43,4.37,2024-08-20 02:46:04+00:00,1.015
6.43,4.37,2024-08-20 02:47:04+00:00,1.013
6.5,4.37,2024-08-20 02:48:04+00:00,1.013
6.43,4.37,2024-08-20 02:49:04+00:00,0.972
6.43,4.43,2024-08-20 02:50:04+00:00,1.04
6.5,4.37,2024-08-20 02:51:04+00:00,1.024
6.5,4.37,2024-08-20 02:52:04+00:00,0.997
6.43,4.25,2024-08-20 02:53:04+00:00,0.939
6.43,4.25,2024-08-20 02:54:04+00:00,0.998
6.5,4.18,2024-08-20 02:55:04+00:00,0.984
6.43,4.12,2024-08-20 02:56:04+00:00,0.89
6.43,4.12,2024-08-20 02:57:04+00:00,0.965
6.5,4.06,2024-08-20 02:58:04+00:00,1.005
6.43,4.0,2024-08-20 02:59:04+00:00,0.998
6.43,4.0,2024-08-20 03:00:04+00:00,1.015
6.37,4.06,2024-08-20 03:00:59+00:00,1.033
6.37,4.0,2024-08-20 03:01:59+00:00,1.012
6.37,4.0,2024-08-20 03:02:59+00:00,1.015
6.37,4.0,2024-08-20 03:03:59+00:00,1.015
6.31,4.0,2024-08-20 03:04:59+00:00,1.016
6.31,4.0,2024-08-20 03:05:59+00:00,1.012
6.25,4.0,2024-08-20 03:06:59+00:00,1.012
6.31,4.06,2024-08-20 03:07:59+00:00,1.015
6.31,4.0,2024-08-20 03:08:59+00:00,1.013
6.31,4.0,2024-08-20 03:09:59+00:00,1.014
6.25,4.06,2024-08-20 03:10:59+00:00,1.014
6.31,4.06,2024-08-20 03:11:59+00:00,1.051
6.25,4.0,2024-08-20 03:12:59+00:00,1.049
6.25,4.06,2024-08-20 03:13:59+00:00,0.956
6.31,4.0,2024-08-20 03:14:59+00:00,1.009
6.25,4.0,2024-08-20 03:15:59+00:00,1.022
6.25,4.0,2024-08-20 03:16:58+00:00,0.985
6.18,4.0,2024-08-20 03:17:58+00:00,0.997
6.18,4.0,2024-08-20 03:18:58+00:00,1.01
6.18,4.0,2024-08-20 03:19:58+00:00,1.026
6.18,4.06,2024-08-20 03:20:58+00:00,1.022
6.18,4.0,2024-08-20 03:21:58+00:00,1.007
6.18,4.0,2024-08-20 03:22:58+00:00,1.012
6.12,4.0,2024-08-20 03:23:58+00:00,1.012
6.18,4.06,2024-08-20 03:24:58+00:00,1.013
6.12,4.06,2024-08-20 03:25:58+00:00,1.013
6.18,4.0,2024-08-20 03:26:58+00:00,1.002
6.12,4.0,2024-08-20 03:27:58+00:00,0.939
6.12,4.06,2024-08-20 03:28:58+00:00,1.047
6.12,4.0,2024-08-20 03:29:58+00:00,0.982
6.12,4.0,2024-08-20 03:30:58+00:00,1.001
6.12,4.0,2024-08-20 03:31:58+00:00,1.027
6.12,4.0,2024-08-20 03:32:58+00:00,1.001
6.12,4.0,2024-08-20 03:33:58+00:00,1.016
6.12,4.0,2024-08-20 03:34:58+00:00,1.012
6.12,4.0,2024-08-20 03:35:58+00:00,1.015
6.12,4.06,2024-08-20 03:36:58+00:00,1.015
6.12,4.0,2024-08-20 03:37:58+00:00,1.012
6.12,4.0,2024-08-20 03:38:57+00:00,1.014
6.06,4.0,2024-08-20 03:39:57+00:00,1.013
6.06,4.0,2024-08-20 03:40:57+00:00,1.014
6.12,4.0,2024-08-20 03:41:57+00:00,1.011
6.06,4.0,2024-08-20 03:42:57+00:00,1.054
6.12,4.0,2024-08-20 03:43:57+00:00,0.985
6.06,4.0,2024-08-20 03:44:57+00:00,0.801
6.06,4.0,2024-08-20 03:45:57+00:00,1.003
6.06,4.06,2024-08-20 03:46:57+00:00,1.038
6.06,4.0,2024-08-20 03:47:57+00:00,1.022
6.06,3.93,2024-08-20 03:48:57+00:00,1.032
6.0,4.06,2024-08-20 03:49:57+00:00,1.02
6.06,4.0,2024-08-20 03:50:57+00:00,1.012
6.0,4.0,2024-08-20 03:51:57+00:00,1.02
6.0,4.0,2024-08-20 03:52:57+00:00,1.009
6.0,4.0,2024-08-20 03:53:57+00:00,1.014
6.0,4.0,2024-08-20 03:54:57+00:00,1.014
6.0,4.0,2024-08-20 03:55:57+00:00,1.015
6.06,4.0,2024-08-20 03:56:57+00:00,1.024
6.06,3.93,2024-08-20 03:57:57+00:00,0.998
5.81,4.0,2024-08-20 03:58:57+00:00,1.029
5.87,4.0,2024-08-20 03:59:57+00:00,1.007
5.87,4.0,2024-08-20 04:00:53+00:00,1.047
5.87,4.0,2024-08-20 04:01:53+00:00,1.041
5.87,4.06,2024-08-20 04:02:53+00:00,1.035
5.81,4.06,2024-08-20 04:03:53+00:00,1.008
5.87,4.0,2024-08-20 04:04:53+00:00,1.018
5.81,4.0,2024-08-20 04:05:53+00:00,1.016
5.87,4.0,2024-08-20 04:06:53+00:00,1.012
5.87,4.0,2024-08-20 04:07:53+00:00,1.015
5.87,4.0,2024-08-20 04:08:53+00:00,1.012
5.87,4.0,2024-08-20 04:09:53+00:00,1.016
5.87,4.0,2024-08-20 04:10:53+00:00,1.014
5.87,4.0,2024-08-20 04:11:53+00:00,1.015
5.93,4.25,2024-08-20 04:12:53+00:00,0.989
5.87,4.31,2024-08-20 04:13:53+00:00,0.997
5.93,4.43,2024-08-20 04:14:53+00:00,0.905
6.0,4.56,2024-08-20 04:15:53+00:00,0.965
6.06,4.5,2024-08-20 04:16:52+00:00,0.951
6.0,4.5,2024-08-20 04:17:52+00:00,0.852
6.0,4.56,2024-08-20 04:18:52+00:00,0.932
6.0,4.5,2024-08-20 04:19:52+00:00,0.865
6.0,4.43,2024-08-20 04:20:52+00:00,1.02
6.0,4.56,2024-08-20 04:21:52+00:00,0.995
