Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1724457603;24/08/24;00:00:03;0.956;0.069;-0.028;0.025656338781118393;0.8002334833145142;0.14416420459747314
01:00:0A:00:00:00:00;1724457604;24/08/24;00:00:04;0.945;-0.097;0.206;-0.2028072476387024;-0.5277875661849976;0.0708603635430336
01:00:0A:00:00:00:00;1724457605;24/08/24;00:00:05;1.016;-0.008;-0.1;-0.02321287989616394;0.22479839622974396;-0.0757472887635231
01:00:0A:00:00:00:00;1724457606;24/08/24;00:00:06;1.016;0.018;0.289;-0.16371189057826996;0.19058994948863983;0.13927726447582245
01:00:0A:00:00:00:00;1724457607;24/08/24;00:00:07;1.013;-0.237;0.034;-0.17592918872833252;-0.14538592100143433;-0.03176499158143997
01:00:0A:00:00:00:00;1724457608;24/08/24;00:00:08;0.975;0.208;0.073;-0.08307767659425735;0.025656338781118393;-0.5571090579032898
01:00:0A:00:00:00:00;1724457609;24/08/24;00:00:09;0.978;-0.051;0.055;-0.4251621961593628;-0.31154125928878784;0.48380526900291443
01:00:0A:00:00:00:00;1724457610;24/08/24;00:00:10;0.967;-0.08;0.063;-0.13561207056045532;0.40194931626319885;-0.46792274713516235
01:00:0A:00:00:00:00;1724457611;24/08/24;00:00:11;0.964;0.033;0.264;-0.6487389206886292;-0.31154125928878784;0.27977627515792847
01:00:0A:00:00:00:00;1724457612;24/08/24;00:00:12;1.042;-0.229;-0.037;-0.6365215182304382;-0.14782939851284027;0.11972958594560623
01:00:0A:00:00:00:00;1724457613;24/08/24;00:00:13;1.057;-0.22;0.065;-0.29565879702568054;0.37262779474258423;-0.059864792972803116
01:00:0A:00:00:00:00;1724457614;24/08/24;00:00:14;0.951;0.07;0.409;-0.46181410551071167;0.3579670488834381;-0.15393804013729095
01:00:0A:00:00:00:00;1724457615;24/08/24;00:00:15;0.968;-0.074;0.063;-0.6658430695533752;-0.3604104816913605;-0.16249015927314758
01:00:0A:00:00:00:00;1724457616;24/08/24;00:00:16;0.943;0.064;0.182;-0.6890559792518616;0.22479839622974396;-0.07941248267889023
01:00:0A:00:00:00:00;1724457617;24/08/24;00:00:17;0.973;0.145;0.201;-0.9749408960342407;-0.6524040699005127;-0.3274237811565399
01:00:0A:00:00:00:00;1724457618;24/08/24;00:00:18;0.99;0.224;0.187;-1.2498303651809692;-0.09529497474431992;0.4349360466003418
01:00:0A:00:00:00:00;1724457619;24/08/24;00:00:19;1.074;-0.148;-0.083;-1.0189231634140015;-0.22113320231437683;-0.11972958594560623
01:00:0A:00:00:00:00;1724457620;24/08/24;00:00:20;1.022;0.057;0.374;-0.9370672702789307;0.22846359014511108;-0.13805554807186127
01:00:0A:00:00:00:00;1724457621;24/08/24;00:00:21;0.98;0.251;0.068;-1.016479730606079;-0.37629297375679016;-0.6890559792518616
01:00:0A:00:00:00:00;1724457622;24/08/24;00:00:22;0.908;0.209;-0.006;-1.3353514671325684;-0.817337691783905;0.09407324343919754
01:00:0A:00:00:00:00;1724457623;24/08/24;00:00:23;0.932;-0.031;-0.027;-1.4330898523330688;-0.34574973583221436;0.9089674949645996
01:00:0A:00:00:00:00;1724457624;24/08/24;00:00:24;0.983;-0.13;0.012;-0.8710938096046448;0.7049384713172913;-0.5900958180427551
01:00:0A:00:00:00:00;1724457625;24/08/24;00:00:25;0.944;0.289;0.091;-1.7776178121566772;-1.108109474182129;0.6230825185775757
01:00:0A:00:00:00:00;1724457626;24/08/24;00:00:26;0.924;0.366;-0.206;-1.5357152223587036;-0.1270599663257599;0.31642818450927734
01:00:0A:00:00:00:00;1724457627;24/08/24;00:00:27;1.013;-0.25;-0.009;-1.5015066862106323;-0.322536826133728;0.40683624148368835
01:00:0A:00:00:00:00;1724457628;24/08/24;00:00:28;0.99;0.047;-0.06;-1.0311404466629028;0.29688048362731934;-0.2590068578720093
01:00:0A:00:00:00:00;1724457629;24/08/24;00:00:29;0.942;-0.031;0.16;-1.1032226085662842;-0.20525071024894714;-0.09407324343919754
01:00:0A:00:00:00:00;1724457630;24/08/24;00:00:30;1.005;0.01;0.109;-1.0335839986801147;-0.04642575979232788;-0.1918116807937622
01:00:0A:00:00:00:00;1724457631;24/08/24;00:00:31;1.066;0.018;0.079;-1.2082914113998413;-0.3152064383029938;-0.11362093687057495
01:00:0A:00:00:00:00;1724457632;24/08/24;00:00:32;1.102;0.17;-0.011;-1.1801916360855103;-0.0012217304902151227;0.03298672288656235
01:00:0A:00:00:00:00;1724457633;24/08/24;00:00:33;1.023;-0.386;-0.027;-1.0409142971038818;-0.012217304669320583;0.5619960427284241
01:00:0A:00:00:00:00;1724457634;24/08/24;00:00:34;0.871;0.336;0.476;-0.8698720932006836;0.5314527750015259;-0.7623597979545593
01:00:0A:00:00:00:00;1724457635;24/08/24;00:00:35;0.974;0.034;-0.261;-1.2400563955307007;-1.1215485334396362;0.02932153083384037
01:00:0A:00:00:00:00;1724457636;24/08/24;00:00:36;0.967;0.165;0.107;-1.0286970138549805;0.4715879559516907;0.3640756905078888
01:00:0A:00:00:00:00;1724457637;24/08/24;00:00:37;0.984;-0.15;-0.064;-0.8588765263557434;-0.2871066629886627;-0.14905111491680145
01:00:0A:00:00:00:00;1724457638;24/08/24;00:00:38;1.021;0.168;0.073;-0.6194173693656921;0.3689626157283783;-0.12461651116609573
01:00:0A:00:00:00:00;1724457639;24/08/24;00:00:39;1.015;-0.303;0.205;-0.6670648455619812;-0.18325956165790558;0.1258382350206375
01:00:0A:00:00:00:00;1724457640;24/08/24;00:00:40;1.022;0.203;-0.039;-0.4764748811721802;0.04764748737215996;-0.4239404499530792
01:00:0A:00:00:00:00;1724457641;24/08/24;00:00:41;0.964;-0.159;0.066;-0.6194173693656921;-0.05497787147760391;0.6291911602020264
01:00:0A:00:00:00:00;1724457642;24/08/24;00:00:42;0.914;0.119;0.078;-0.39217546582221985;0.16493360698223114;-0.8271114826202393
01:00:0A:00:00:00:00;1724457643;24/08/24;00:00:43;0.939;-0.035;-0.054;-0.8503243923187256;-0.6866125464439392;0.8833111524581909
01:00:0A:00:00:00:00;1724457644;24/08/24;00:00:44;0.943;-0.033;-0.236;-0.3042108714580536;0.6023131012916565;-0.14294245839118958
01:00:0A:00:00:00:00;1724457645;24/08/24;00:00:45;1.016;-0.09;0.237;-0.313984751701355;0.2724458873271942;0.10751228034496307
01:00:0A:00:00:00:00;1724457646;24/08/24;00:00:46;0.985;-0.332;0.359;-0.3433062732219696;-0.03787364438176155;-0.4544837474822998
01:00:0A:00:00:00:00;1724457647;24/08/24;00:00:47;1.003;0.339;0.131;-0.6316346526145935;-0.17348572611808777;-0.05864306166768074
01:00:0A:00:00:00:00;1724457648;24/08/24;00:00:48;0.99;-0.27;0.112;-0.7599163055419922;-0.19792033731937408;0.34697145223617554
01:00:0A:00:00:00:00;1724457649;24/08/24;00:00:49;0.98;0.081;0.142;-0.4789183437824249;0.21013763546943665;-0.436157763004303
01:00:0A:00:00:00:00;1724457650;24/08/24;00:00:50;0.956;0.124;0.011;-0.8063421249389648;-0.616973876953125;0.2822197377681732
01:00:0A:00:00:00:00;1724457651;24/08/24;00:00:51;0.966;0.175;-0.167;-0.6633996367454529;0.27977627515792847;0.2541199326515198
01:00:0A:00:00:00:00;1724457652;24/08/24;00:00:52;1.066;-0.088;0.041;-0.5815436840057373;0.05253440886735916;0.23335053026676178
01:00:0A:00:00:00:00;1724457653;24/08/24;00:00:53;1.047;-0.346;-0.043;-0.3090977966785431;0.5900958180427551;-0.0036651913542300463
01:00:0A:00:00:00:00;1724457654;24/08/24;00:00:54;0.898;0.249;0.6;-0.5668829083442688;0.25045475363731384;-0.46181410551071167
01:00:0A:00:00:00:00;1724457655;24/08/24;00:00:55;1.026;0.124;-0.081;-1.0005972385406494;-0.6756169199943542;-0.26022857427597046
01:00:0A:00:00:00:00;1724457656;24/08/24;00:00:56;0.954;0.029;0.286;-1.1814132928848267;0.1820378452539444;0.26633724570274353
01:00:0A:00:00:00:00;1724457657;24/08/24;00:00:57;0.942;0.179;-0.144;-1.1496483087539673;-0.6438519358634949;-0.4715879559516907
01:00:0A:00:00:00:00;1724457658;24/08/24;00:00:58;0.95;0.175;-0.048;-1.2486084699630737;0.2895500957965851;1.2473868131637573
01:00:0A:00:00:00:00;1724457659;24/08/24;00:00:59;0.929;-0.389;0.102;-0.8319984674453735;0.5546656250953674;-0.42638394236564636
01:00:0A:00:00:00:00;1724457660;24/08/24;00:01:00;1.043;-0.044;0.163;-0.9578366875648499;-0.2993239760398865;-0.26633724570274353
01:00:0A:00:00:00:00;1724457661;24/08/24;00:01:01;1.047;-0.01;0.04;-0.9419541358947754;-0.018325956538319588;0.17104226350784302
01:00:0A:00:00:00:00;1724457662;24/08/24;00:01:02;0.97;-0.076;0.052;-0.8271114826202393;0.08796459436416626;0.09162978082895279
01:00:0A:00:00:00:00;1724457663;24/08/24;00:01:03;0.939;0.081;0.059;-0.7232644557952881;0.07452555745840073;-0.24434609711170197
01:00:0A:00:00:00:00;1724457664;24/08/24;00:01:04;0.974;0.013;0.156;-0.949284553527832;-0.2431243658065796;0.49846604466438293
01:00:0A:00:00:00:00;1724457665;24/08/24;00:01:05;0.983;-0.22;-0.042;-0.5082398653030396;0.5326744914054871;-0.3286454975605011
01:00:0A:00:00:00:00;1724457666;24/08/24;00:01:06;0.991;-0.077;0.375;-0.6010913848876953;-0.3323107063770294;-0.21380282938480377
01:00:0A:00:00:00:00;1724457667;24/08/24;00:01:07;1.057;0.055;-0.184;-0.5742133259773254;-0.16371189057826996;-0.10262535512447357
01:00:0A:00:00:00:00;1724457668;24/08/24;00:01:08;1.029;-0.084;0.245;-0.5571090579032898;0.19303341209888458;0.08918632566928864
01:00:0A:00:00:00:00;1724457669;24/08/24;00:01:09;1.002;-0.132;-0.024;-0.45326200127601624;-0.2919935882091522;-0.17348572611808777
01:00:0A:00:00:00:00;1724457670;24/08/24;00:01:10;0.983;0.0;0.114;-0.32498031854629517;0.34697145223617554;0.018325956538319588
01:00:0A:00:00:00:00;1724457671;24/08/24;00:01:11;0.988;-0.102;0.127;-0.48258352279663086;-0.3946189284324646;0.17592918872833252
01:00:0A:00:00:00:00;1724457672;24/08/24;00:01:12;1.03;-0.024;-0.01;-0.2993239760398865;-0.019547687843441963;-0.07330382615327835
01:00:0A:00:00:00:00;1724457673;24/08/24;00:01:13;1.028;0.013;0.247;-0.3152064383029938;0.11239919811487198;0.06719517707824707
01:00:0A:00:00:00:00;1724457674;24/08/24;00:01:14;1.016;-0.132;-0.012;-0.2736676335334778;-0.21380282938480377;0.1270599663257599
01:00:0A:00:00:00:00;1724457675;24/08/24;00:01:15;0.916;0.048;-0.017;0.656069278717041;0.019547687843441963;-0.2590068578720093
01:00:0A:00:00:00:00;1724457676;24/08/24;00:01:16;0.919;0.015;0.159;0.6230825185775757;0.587652325630188;0.2993239760398865
01:00:0A:00:00:00:00;1724457677;24/08/24;00:01:17;0.923;0.047;0.183;0.10384709388017654;-1.3426817655563354;0.051312677562236786
01:00:0A:00:00:00:00;1724457678;24/08/24;00:01:18;0.939;-0.078;-0.241;0.46670106053352356;0.9101892113685608;-0.39828410744667053
01:00:0A:00:00:00:00;1724457679;24/08/24;00:01:19;0.959;0.156;0.291;0.1111774742603302;-0.39217546582221985;0.20891590416431427
01:00:0A:00:00:00:00;1724457680;24/08/24;00:01:20;1.042;-0.158;-0.069;0.04764748737215996;-0.2272418737411499;0.06108652427792549
01:00:0A:00:00:00:00;1724457681;24/08/24;00:01:21;1.046;0.043;0.008;0.22968533635139465;0.24678954482078552;-0.030543262138962746
