Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1725235209;02/09/24;00:00:09;1.025;-0.319;0.064;-1.3377948999404907;0.5290092825889587;-0.4703662395477295
01:00:0A:00:00:00:00;1725235210;02/09/24;00:00:10;0.998;-0.101;-0.04;-1.5442672967910767;-0.4740314185619354;-0.2834414541721344
01:00:0A:00:00:00:00;1725235211;02/09/24;00:00:11;1.005;0.105;0.076;-1.4184291362762451;0.31154125928878784;0.1319468915462494
01:00:0A:00:00:00:00;1725235212;02/09/24;00:00:12;0.997;-0.147;0.098;-1.2363911867141724;0.11850785464048386;-0.006108652334660292
01:00:0A:00:00:00:00;1725235213;02/09/24;00:00:13;0.998;-0.047;0.413;-1.2681562900543213;0.06963863223791122;-0.3042108714580536
01:00:0A:00:00:00:00;1725235214;02/09/24;00:00:14;0.933;-0.365;0.063;-0.9236282110214233;-0.5155702233314514;-0.34086278080940247
01:00:0A:00:00:00:00;1725235215;02/09/24;00:00:15;0.912;0.365;0.108;-0.7648032903671265;-0.41783180832862854;0.010995574295520782
01:00:0A:00:00:00:00;1725235216;02/09/24;00:00:16;0.965;0.282;-0.093;-0.8674286603927612;-0.2895500957965851;0.720820963382721
01:00:0A:00:00:00:00;1725235217;02/09/24;00:00:17;1.041;-0.165;0.112;-0.6548475623130798;0.05619959905743599;-0.2382374405860901
01:00:0A:00:00:00:00;1725235218;02/09/24;00:00:18;0.988;0.127;0.063;-1.881464958190918;-0.3017674386501312;0.1869247555732727
01:00:0A:00:00:00:00;1725235219;02/09/24;00:00:19;0.982;0.088;-0.169;-1.4257594347000122;-0.1576032191514969;-0.29565879702568054
01:00:0A:00:00:00:00;1725235220;02/09/24;00:00:20;0.818;0.467;0.151;-1.4501941204071045;-0.4190535545349121;0.1514945775270462
01:00:0A:00:00:00:00;1725235221;02/09/24;00:00:21;0.949;0.03;0.244;-1.623679757118225;-0.8319984674453735;0.38606682419776917
01:00:0A:00:00:00:00;1725235222;02/09/24;00:00:22;0.979;-0.031;-0.107;-1.1020008325576782;0.5510004162788391;0.3090977966785431
01:00:0A:00:00:00:00;1725235223;02/09/24;00:00:23;1.034;-0.173;0.123;-0.797789990901947;-0.01710422709584236;-0.33964109420776367
01:00:0A:00:00:00:00;1725235224;02/09/24;00:00:24;0.983;0.289;0.17;-0.9089674949645996;0.039095375686883926;-0.1661553531885147
01:00:0A:00:00:00:00;1725235225;02/09/24;00:00:25;0.995;-0.133;-0.007;-1.0836749076843262;-0.38606682419776917;0.33719760179519653
01:00:0A:00:00:00:00;1725235226;02/09/24;00:00:26;0.971;-0.116;0.058;-0.6621779203414917;0.4899139106273651;-0.04886921867728233
01:00:0A:00:00:00:00;1725235227;02/09/24;00:00:27;0.98;-0.01;0.178;-0.7183775305747986;0.01710422709584236;-0.3274237811565399
01:00:0A:00:00:00:00;1725235228;02/09/24;00:00:28;1.016;0.005;0.155;-0.9798278212547302;-0.2028072476387024;0.06352998316287994
01:00:0A:00:00:00:00;1725235229;02/09/24;00:00:29;1.019;-0.094;-0.084;-0.8698720932006836;-0.01710422709584236;-0.0012217304902151227
01:00:0A:00:00:00:00;1725235230;02/09/24;00:00:30;1.007;-0.057;0.155;-0.7452555894851685;0.2480112910270691;-0.10995574295520782
01:00:0A:00:00:00:00;1725235231;02/09/24;00:00:31;1.002;-0.063;0.144;-0.8136724829673767;-0.1466076523065567;-0.1771509200334549
01:00:0A:00:00:00:00;1725235232;02/09/24;00:00:32;1.012;0.049;0.066;-0.7574728727340698;0.03787364438176155;-0.009773843921720982
01:00:0A:00:00:00:00;1725235233;02/09/24;00:00:33;1.014;-0.117;0.1;-0.6963863372802734;-0.036651913076639175;0.040317103266716
01:00:0A:00:00:00:00;1725235234;02/09/24;00:00:34;1.006;-0.07;0.045;-0.5229006409645081;0.10384709388017654;-0.161268413066864
01:00:0A:00:00:00:00;1725235235;02/09/24;00:00:35;0.999;-0.03;0.098;-0.5167919993400574;-0.051312677562236786;-0.012217304669320583
01:00:0A:00:00:00:00;1725235236;02/09/24;00:00:36;1.035;-0.074;0.026;-0.4447098970413208;-0.08674286305904388;-0.040317103266716
01:00:0A:00:00:00:00;1725235237;02/09/24;00:00:37;1.024;0.042;-0.043;-0.31642818450927734;-0.322536826133728;-0.2822197377681732
01:00:0A:00:00:00:00;1725235238;02/09/24;00:00:38;1.004;0.239;-0.167;-0.9419541358947754;0.31154125928878784;0.3323107063770294
01:00:0A:00:00:00:00;1725235239;02/09/24;00:00:39;0.996;-0.379;0.068;-0.6976081132888794;0.11850785464048386;0.1160643920302391
01:00:0A:00:00:00:00;1725235240;02/09/24;00:00:40;1.036;0.105;0.147;-0.5229006409645081;0.16249015927314758;-0.35674530267715454
01:00:0A:00:00:00:00;1725235241;02/09/24;00:00:41;1.029;0.01;0.1;-0.6890559792518616;-0.1673770695924759;0.09529497474431992
01:00:0A:00:00:00:00;1725235242;02/09/24;00:00:42;1.005;-0.08;-0.078;-0.5241223573684692;-0.09651670604944229;0.019547687843441963
01:00:0A:00:00:00:00;1725235243;02/09/24;00:00:43;0.976;-0.076;0.143;-0.3787364363670349;0.3494149148464203;0.040317103266716
01:00:0A:00:00:00:00;1725235244;02/09/24;00:00:44;0.974;-0.054;0.049;-0.4495967924594879;-0.2736676335334778;-0.16371189057826996
01:00:0A:00:00:00:00;1725235245;02/09/24;00:00:45;0.973;0.051;-0.002;-0.33964109420776367;0.22479839622974396;0.12461651116609573
01:00:0A:00:00:00:00;1725235246;02/09/24;00:00:46;0.993;-0.061;0.107;-0.33597588539123535;-0.1722639948129654;-0.1368338167667389
01:00:0A:00:00:00:00;1725235247;02/09/24;00:00:47;1.054;0.007;0.013;-0.2773328125476837;-0.021991148591041565;-0.07330382615327835
01:00:0A:00:00:00:00;1725235248;02/09/24;00:00:48;1.052;-0.049;0.112;-0.2773328125476837;0.00855211354792118;0.02076941914856434
01:00:0A:00:00:00:00;1725235249;02/09/24;00:00:49;1.027;-0.049;0.057;-0.2932153046131134;-0.08429940044879913;0.02932153083384037
01:00:0A:00:00:00:00;1725235250;02/09/24;00:00:50;1.002;-0.038;0.051;-0.2590068578720093;0.009773843921720982;0.015882495790719986
01:00:0A:00:00:00:00;1725235251;02/09/24;00:00:51;1.014;-0.044;0.072;-0.2724458873271942;-0.07330382615327835;-0.02932153083384037
01:00:0A:00:00:00:00;1725235252;02/09/24;00:00:52;1.049;-0.05;0.064;-0.2565633952617645;-0.02076941914856434;0.02687807008624077
01:00:0A:00:00:00:00;1725235253;02/09/24;00:00:53;1.041;-0.033;0.1;-0.24434609711170197;0.04398229718208313;0.004886921960860491
01:00:0A:00:00:00:00;1725235254;02/09/24;00:00:54;1.003;-0.001;0.047;-0.25534167885780334;-0.03298672288656235;0.02932153083384037
01:00:0A:00:00:00:00;1725235255;02/09/24;00:00:55;0.978;-0.008;0.075;-0.21135938167572021;0.10018189996480942;-0.019547687843441963
01:00:0A:00:00:00:00;1725235256;02/09/24;00:00:56;0.987;-0.036;0.073;-0.22357667982578278;-0.0757472887635231;-0.1368338167667389
01:00:0A:00:00:00:00;1725235257;02/09/24;00:00:57;1.015;-0.066;0.034;-0.22479839622974396;0.0036651913542300463;0.015882495790719986
01:00:0A:00:00:00:00;1725235258;02/09/24;00:00:58;1.025;-0.071;0.058;-0.20036379992961884;0.02321287989616394;0.06230825558304787
01:00:0A:00:00:00:00;1725235259;02/09/24;00:00:59;1.03;-0.008;0.107;-0.2223549485206604;-0.080634206533432;0.013439035043120384
01:00:0A:00:00:00:00;1725235260;02/09/24;00:01:00;1.076;-0.01;0.079;-0.11972958594560623;-0.012217304669320583;0.05742133408784866
01:00:0A:00:00:00:00;1725235261;02/09/24;00:01:01;1.016;-0.146;0.11;0.18325956165790558;0.028099799528717995;-0.07941248267889023
01:00:0A:00:00:00:00;1725235262;02/09/24;00:01:02;1.009;-0.006;0.06;0.45814892649650574;-0.006108652334660292;0.045204028487205505
01:00:0A:00:00:00:00;1725235263;02/09/24;00:01:03;1.016;-0.048;0.1;0.36529743671417236;0.006108652334660292;0.1368338167667389
01:00:0A:00:00:00:00;1725235264;02/09/24;00:01:04;1.016;-0.014;0.046;0.34086278080940247;-0.09651670604944229;-0.015882495790719986
01:00:0A:00:00:00:00;1725235265;02/09/24;00:01:05;1.016;0.006;0.016;0.3677408695220947;0.00855211354792118;-0.04398229718208313
01:00:0A:00:00:00:00;1725235266;02/09/24;00:01:06;1.015;-0.034;0.116;0.32131510972976685;-0.014660765416920185;0.015882495790719986
01:00:0A:00:00:00:00;1725235267;02/09/24;00:01:07;1.019;-0.056;0.072;0.2834414541721344;-0.0708603635430336;0.018325956538319588
01:00:0A:00:00:00:00;1725235268;02/09/24;00:01:08;1.01;-0.003;0.038;0.3017674386501312;0.0024434609804302454;-0.030543262138962746
01:00:0A:00:00:00:00;1725235269;02/09/24;00:01:09;1.008;-0.013;0.076;0.2675589621067047;0.04398229718208313;0.04764748737215996
01:00:0A:00:00:00:00;1725235270;02/09/24;00:01:10;1.01;-0.024;0.08;0.22357667982578278;-0.06963863223791122;0.04153883829712868
