Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1727222387;24/09/24;23:59:47;1.025;0.025;0.155;0.1319468915462494;0.0036651913542300463;0.013439035043120384
01:00:0A:00:00:00:00;1727222388;24/09/24;23:59:48;1.02;0.029;0.153;0.13439035415649414;0.021991148591041565;0.009773843921720982
01:00:0A:00:00:00:00;1727222389;24/09/24;23:59:49;1.002;0.024;0.139;0.13439035415649414;0.018325956538319588;0.009773843921720982
01:00:0A:00:00:00:00;1727222390;24/09/24;23:59:50;0.993;0.026;0.132;0.1319468915462494;-0.0036651913542300463;0.012217304669320583
01:00:0A:00:00:00:00;1727222391;24/09/24;23:59:51;0.993;0.036;0.136;0.11972958594560623;-0.021991148591041565;0.025656338781118393
01:00:0A:00:00:00:00;1727222392;24/09/24;23:59:52;1.003;0.04;0.141;0.10506881773471832;-0.01710422709584236;0.02687807008624077
01:00:0A:00:00:00:00;1727222393;24/09/24;23:59:53;1.013;0.037;0.141;0.09896016865968704;-0.010995574295520782;0.01710422709584236
01:00:0A:00:00:00:00;1727222394;24/09/24;23:59:54;1.016;0.033;0.145;0.09773843735456467;-0.013439035043120384;0.00855211354792118
01:00:0A:00:00:00:00;1727222395;24/09/24;23:59:55;1.02;0.036;0.154;0.09040805697441101;0.0;0.00855211354792118
01:00:0A:00:00:00:00;1727222396;24/09/24;23:59:56;1.014;0.043;0.148;0.07452555745840073;0.015882495790719986;0.012217304669320583
01:00:0A:00:00:00:00;1727222397;24/09/24;23:59:57;1.011;0.045;0.149;0.051312677562236786;0.019547687843441963;0.014660765416920185
01:00:0A:00:00:00:00;1727222398;24/09/24;23:59:58;1.001;0.043;0.144;0.039095375686883926;0.014660765416920185;0.0073303827084600925
01:00:0A:00:00:00:00;1727222399;24/09/24;23:59:59;0.998;0.047;0.14;0.03176499158143997;-0.004886921960860491;-0.0012217304902151227
01:00:0A:00:00:00:00;1727222400;25/09/24;00:00:00;1.0;0.046;0.141;0.01710422709584236;-0.030543262138962746;0.0012217304902151227
01:00:0A:00:00:00:00;1727222401;25/09/24;00:00:01;1.007;0.04;0.148;0.0012217304902151227;-0.036651913076639175;0.00855211354792118
01:00:0A:00:00:00:00;1727222402;25/09/24;00:00:02;1.019;0.04;0.155;-0.00855211354792118;-0.02076941914856434;0.009773843921720982
01:00:0A:00:00:00:00;1727222403;25/09/24;00:00:03;1.018;0.043;0.153;-0.014660765416920185;0.00855211354792118;0.0012217304902151227
01:00:0A:00:00:00:00;1727222404;25/09/24;00:00:04;1.016;0.042;0.146;-0.021991148591041565;0.009773843921720982;-0.004886921960860491
01:00:0A:00:00:00:00;1727222405;25/09/24;00:00:05;1.003;0.042;0.135;-0.030543262138962746;-0.0012217304902151227;-0.0024434609804302454
01:00:0A:00:00:00:00;1727222406;25/09/24;00:00:06;1.007;-0.006;0.032;0.15882496535778046;-0.03787364438176155;0.04642575979232788
01:00:0A:00:00:00:00;1727222407;25/09/24;00:00:07;1.011;0.006;0.087;0.17959438264369965;0.10506881773471832;-0.04886921867728233
01:00:0A:00:00:00:00;1727222408;25/09/24;00:00:08;1.01;0.004;0.146;0.17837265133857727;-0.004886921960860491;0.05864306166768074
01:00:0A:00:00:00:00;1727222409;25/09/24;00:00:09;1.009;0.005;0.157;0.2321287840604782;-0.015882495790719986;-0.0073303827084600925
01:00:0A:00:00:00:00;1727222410;25/09/24;00:00:10;1.012;0.058;0.148;0.2174680233001709;-0.03298672288656235;-0.006108652334660292
01:00:0A:00:00:00:00;1727222411;25/09/24;00:00:11;1.017;0.063;0.137;0.14905111491680145;-0.0024434609804302454;0.02932153083384037
01:00:0A:00:00:00:00;1727222412;25/09/24;00:00:12;1.012;0.026;0.142;0.12095131725072861;0.02932153083384037;0.04886921867728233
01:00:0A:00:00:00:00;1727222413;25/09/24;00:00:13;1.003;0.011;0.156;0.15882496535778046;0.015882495790719986;0.015882495790719986
01:00:0A:00:00:00:00;1727222414;25/09/24;00:00:14;1.002;0.029;0.151;0.1820378452539444;-0.018325956538319588;-0.0012217304902151227
01:00:0A:00:00:00:00;1727222415;25/09/24;00:00:15;1.01;0.043;0.138;0.1563815027475357;-0.012217304669320583;0.021991148591041565
01:00:0A:00:00:00:00;1727222416;25/09/24;00:00:16;1.018;0.038;0.142;0.13316862285137177;0.006108652334660292;0.03298672288656235
01:00:0A:00:00:00:00;1727222417;25/09/24;00:00:17;1.018;0.028;0.159;0.14049901068210602;0.012217304669320583;0.02321287989616394
01:00:0A:00:00:00:00;1727222418;25/09/24;00:00:18;1.01;0.036;0.153;0.15027284622192383;0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1727222419;25/09/24;00:00:19;1.001;0.04;0.133;0.14049901068210602;-0.0012217304902151227;0.013439035043120384
01:00:0A:00:00:00:00;1727222420;25/09/24;00:00:20;0.994;0.034;0.13;0.1258382350206375;-0.013439035043120384;0.03298672288656235
01:00:0A:00:00:00:00;1727222421;25/09/24;00:00:21;1.009;0.028;0.148;0.13072516024112701;-0.018325956538319588;0.02932153083384037
01:00:0A:00:00:00:00;1727222422;25/09/24;00:00:22;1.022;0.031;0.158;0.14049901068210602;-0.02321287989616394;0.030543262138962746
01:00:0A:00:00:00:00;1727222423;25/09/24;00:00:23;1.027;0.039;0.145;0.14049901068210602;0.004886921960860491;0.018325956538319588
01:00:0A:00:00:00:00;1727222424;25/09/24;00:00:24;1.019;0.033;0.137;0.14049901068210602;0.024434609338641167;0.009773843921720982
01:00:0A:00:00:00:00;1727222425;25/09/24;00:00:25;0.996;0.025;0.135;0.14538592100143433;0.02687807008624077;0.0073303827084600925
01:00:0A:00:00:00:00;1727222426;25/09/24;00:00:26;0.988;0.029;0.139;0.15027284622192383;-0.00855211354792118;0.010995574295520782
01:00:0A:00:00:00:00;1727222437;25/09/24;00:00:37;1.013;0.038;0.149;0.05864306166768074;0.013439035043120384;0.024434609338641167
01:00:0A:00:00:00:00;1727222438;25/09/24;00:00:38;1.002;0.047;0.141;0.05619959905743599;0.0073303827084600925;0.00855211354792118
01:00:0A:00:00:00:00;1727222439;25/09/24;00:00:39;0.996;0.049;0.14;0.04886921867728233;-0.006108652334660292;-0.0036651913542300463
01:00:0A:00:00:00:00;1727222440;25/09/24;00:00:40;0.997;0.042;0.142;0.04153883829712868;-0.01710422709584236;-0.006108652334660292
01:00:0A:00:00:00:00;1727222441;25/09/24;00:00:41;1.001;0.029;0.145;0.039095375686883926;-0.02932153083384037;0.009773843921720982
01:00:0A:00:00:00:00;1727222442;25/09/24;00:00:42;1.005;0.029;0.144;0.039095375686883926;-0.030543262138962746;0.019547687843441963
01:00:0A:00:00:00:00;1727222443;25/09/24;00:00:43;1.018;0.04;0.151;0.036651913076639175;-0.021991148591041565;0.02076941914856434
01:00:0A:00:00:00:00;1727222444;25/09/24;00:00:44;1.025;0.045;0.156;0.03420845419168472;-0.004886921960860491;0.00855211354792118
01:00:0A:00:00:00:00;1727222445;25/09/24;00:00:45;1.019;0.041;0.149;0.03176499158143997;0.024434609338641167;-0.00855211354792118
01:00:0A:00:00:00:00;1727222446;25/09/24;00:00:46;0.994;0.03;0.139;0.04398229718208313;0.02076941914856434;0.051312677562236786
01:00:0A:00:00:00:00;1727222447;25/09/24;00:00:47;0.984;0.012;0.143;0.3530800938606262;0.0073303827084600925;0.02321287989616394
01:00:0A:00:00:00:00;1727222448;25/09/24;00:00:48;0.991;0.014;0.158;0.6988298296928406;-0.013439035043120384;0.14049901068210602
01:00:0A:00:00:00:00;1727222449;25/09/24;00:00:49;1.0;0.038;0.172;0.7831292152404785;-0.06230825558304787;0.059864792972803116
01:00:0A:00:00:00:00;1727222450;25/09/24;00:00:50;1.025;0.072;0.119;0.6805038452148438;-0.025656338781118393;0.09162978082895279
01:00:0A:00:00:00:00;1727222451;25/09/24;00:00:51;1.029;0.04;0.126;0.6010913848876953;0.06719517707824707;0.06719517707824707
01:00:0A:00:00:00:00;1727222452;25/09/24;00:00:52;1.014;0.059;0.167;0.5668829083442688;0.08307767659425735;0.01710422709584236
01:00:0A:00:00:00:00;1727222453;25/09/24;00:00:53;1.003;0.064;0.143;0.4813618063926697;0.02321287989616394;0.0708603635430336
01:00:0A:00:00:00:00;1727222454;25/09/24;00:00:54;0.992;0.022;0.126;0.436157763004303;0.010995574295520782;0.10995574295520782
01:00:0A:00:00:00:00;1727222455;25/09/24;00:00:55;0.998;0.009;0.15;0.4764748811721802;0.0012217304902151227;0.0354301817715168
01:00:0A:00:00:00:00;1727222456;25/09/24;00:00:56;1.008;0.047;0.153;0.4752531349658966;-0.019547687843441963;0.02687807008624077
01:00:0A:00:00:00:00;1727222457;25/09/24;00:00:57;1.018;0.052;0.138;0.41661006212234497;0.010995574295520782;0.05619959905743599
01:00:0A:00:00:00:00;1727222458;25/09/24;00:00:58;1.016;0.032;0.156;0.38117989897727966;0.04153883829712868;0.06230825558304787
01:00:0A:00:00:00:00;1727222459;25/09/24;00:00:59;1.011;0.04;0.173;0.3787364363670349;0.036651913076639175;0.05253440886735916
01:00:0A:00:00:00:00;1727222460;25/09/24;00:01:00;1.009;0.049;0.152;0.3604104816913605;0.012217304669320583;0.04886921867728233
01:00:0A:00:00:00:00;1727222461;25/09/24;00:01:01;1.006;0.037;0.13;0.3384193480014801;0.009773843921720982;0.04642575979232788
