Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1724112002;20/08/24;00:00:02;1.014;-0.025;0.076;0.0073303827084600925;-0.015882495790719986;0.0
01:00:0A:00:00:00:00;1724112003;20/08/24;00:00:03;1.015;-0.027;0.08;0.0073303827084600925;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724112004;20/08/24;00:00:04;1.016;-0.026;0.077;0.006108652334660292;-0.004886921960860491;0.004886921960860491
01:00:0A:00:00:00:00;1724112005;20/08/24;00:00:05;1.015;-0.025;0.076;0.006108652334660292;-0.006108652334660292;0.006108652334660292
01:00:0A:00:00:00:00;1724112006;20/08/24;00:00:06;1.016;-0.027;0.075;0.0073303827084600925;-0.009773843921720982;0.004886921960860491
01:00:0A:00:00:00:00;1724112007;20/08/24;00:00:07;1.016;-0.024;0.074;0.006108652334660292;-0.013439035043120384;0.0036651913542300463
01:00:0A:00:00:00:00;1724112008;20/08/24;00:00:08;1.013;-0.026;0.076;0.006108652334660292;-0.014660765416920185;0.0036651913542300463
01:00:0A:00:00:00:00;1724112009;20/08/24;00:00:09;1.013;-0.025;0.077;0.006108652334660292;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724112010;20/08/24;00:00:10;1.013;-0.026;0.077;0.006108652334660292;-0.009773843921720982;0.0024434609804302454
01:00:0A:00:00:00:00;1724112011;20/08/24;00:00:11;1.016;-0.026;0.077;0.006108652334660292;-0.00855211354792118;0.0036651913542300463
01:00:0A:00:00:00:00;1724112012;20/08/24;00:00:12;1.016;-0.025;0.075;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724112013;20/08/24;00:00:13;1.017;-0.025;0.076;0.006108652334660292;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724112014;20/08/24;00:00:14;1.016;-0.027;0.075;0.006108652334660292;-0.013439035043120384;0.0024434609804302454
01:00:0A:00:00:00:00;1724112015;20/08/24;00:00:15;1.015;-0.028;0.079;0.006108652334660292;-0.013439035043120384;0.0024434609804302454
01:00:0A:00:00:00:00;1724112016;20/08/24;00:00:16;1.014;-0.026;0.077;0.006108652334660292;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1724112017;20/08/24;00:00:17;1.013;-0.025;0.076;0.006108652334660292;-0.009773843921720982;0.0036651913542300463
01:00:0A:00:00:00:00;1724112018;20/08/24;00:00:18;1.015;-0.025;0.077;0.006108652334660292;-0.009773843921720982;0.0024434609804302454
01:00:0A:00:00:00:00;1724112019;20/08/24;00:00:19;1.016;-0.026;0.075;0.006108652334660292;-0.010995574295520782;0.0036651913542300463
