Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1722902406;06/08/24;00:00:06;1.014;-0.027;0.11;0.0354301817715168;-0.013439035043120384;0.006108652334660292
01:00:0A:00:00:00:00;1722902407;06/08/24;00:00:07;1.014;-0.027;0.11;0.03420845419168472;-0.012217304669320583;0.009773843921720982
01:00:0A:00:00:00:00;1722902408;06/08/24;00:00:08;1.014;-0.028;0.109;0.036651913076639175;-0.00855211354792118;0.006108652334660292
01:00:0A:00:00:00:00;1722902409;06/08/24;00:00:09;1.011;-0.026;0.11;0.0354301817715168;-0.010995574295520782;0.006108652334660292
01:00:0A:00:00:00:00;1722902410;06/08/24;00:00:10;1.011;-0.028;0.108;0.03420845419168472;-0.013439035043120384;0.0073303827084600925
01:00:0A:00:00:00:00;1722902411;06/08/24;00:00:11;1.013;-0.029;0.109;0.036651913076639175;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1722902412;06/08/24;00:00:12;1.015;-0.026;0.111;0.0354301817715168;-0.013439035043120384;0.006108652334660292
01:00:0A:00:00:00:00;1722902413;06/08/24;00:00:13;1.016;-0.028;0.11;0.0354301817715168;-0.012217304669320583;0.00855211354792118
01:00:0A:00:00:00:00;1722902414;06/08/24;00:00:14;1.014;-0.027;0.111;0.036651913076639175;-0.00855211354792118;0.004886921960860491
01:00:0A:00:00:00:00;1722902415;06/08/24;00:00:15;1.013;-0.026;0.111;0.036651913076639175;-0.010995574295520782;0.0073303827084600925
01:00:0A:00:00:00:00;1722902416;06/08/24;00:00:16;1.011;-0.028;0.108;0.0354301817715168;-0.012217304669320583;0.00855211354792118
01:00:0A:00:00:00:00;1722902417;06/08/24;00:00:17;1.012;-0.028;0.108;0.03787364438176155;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1722902418;06/08/24;00:00:18;1.013;-0.025;0.108;0.036651913076639175;-0.014660765416920185;0.006108652334660292
01:00:0A:00:00:00:00;1722902419;06/08/24;00:00:19;1.015;-0.028;0.108;0.036651913076639175;-0.013439035043120384;0.0073303827084600925
01:00:0A:00:00:00:00;1722902420;06/08/24;00:00:20;1.014;-0.027;0.111;0.039095375686883926;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1722902421;06/08/24;00:00:21;1.013;-0.026;0.11;0.036651913076639175;-0.010995574295520782;0.00855211354792118
01:00:0A:00:00:00:00;1722902422;06/08/24;00:00:22;1.012;-0.028;0.109;0.03787364438176155;-0.010995574295520782;0.0073303827084600925
01:00:0A:00:00:00:00;1722902423;06/08/24;00:00:23;1.011;-0.027;0.108;0.039095375686883926;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1722902424;06/08/24;00:00:24;1.012;-0.028;0.109;0.036651913076639175;-0.014660765416920185;0.00855211354792118
01:00:0A:00:00:00:00;1722902425;06/08/24;00:00:25;1.013;-0.028;0.109;0.03787364438176155;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1722902426;06/08/24;00:00:26;1.014;-0.026;0.11;0.040317103266716;-0.009773843921720982;0.004886921960860491
01:00:0A:00:00:00:00;1722902427;06/08/24;00:00:27;1.014;-0.027;0.109;0.03787364438176155;-0.010995574295520782;0.00855211354792118
01:00:0A:00:00:00:00;1722902428;06/08/24;00:00:28;1.013;-0.027;0.108;0.039095375686883926;-0.010995574295520782;0.0073303827084600925
01:00:0A:00:00:00:00;1722902429;06/08/24;00:00:29;1.011;-0.026;0.109;0.040317103266716;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1722902430;06/08/24;00:00:30;1.011;-0.027;0.108;0.03787364438176155;-0.014660765416920185;0.00855211354792118
01:00:0A:00:00:00:00;1722902431;06/08/24;00:00:31;1.014;-0.029;0.108;0.040317103266716;-0.012217304669320583;0.006108652334660292
01:00:0A:00:00:00:00;1722902432;06/08/24;00:00:32;1.015;-0.026;0.111;0.040317103266716;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1722902433;06/08/24;00:00:33;1.015;-0.027;0.109;0.039095375686883926;-0.010995574295520782;0.010995574295520782
01:00:0A:00:00:00:00;1722902434;06/08/24;00:00:34;1.013;-0.029;0.109;0.040317103266716;-0.009773843921720982;0.006108652334660292
01:00:0A:00:00:00:00;1722902435;06/08/24;00:00:35;1.011;-0.026;0.109;0.04153883829712868;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1722902436;06/08/24;00:00:36;1.011;-0.029;0.108;0.039095375686883926;-0.012217304669320583;0.010995574295520782
01:00:0A:00:00:00:00;1722902437;06/08/24;00:00:37;1.012;-0.029;0.109;0.04153883829712868;-0.013439035043120384;0.004886921960860491
01:00:0A:00:00:00:00;1722902438;06/08/24;00:00:38;1.014;-0.026;0.109;0.04153883829712868;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1722902439;06/08/24;00:00:39;1.014;-0.027;0.109;0.040317103266716;-0.010995574295520782;0.009773843921720982
01:00:0A:00:00:00:00;1722902440;06/08/24;00:00:40;1.013;-0.028;0.109;0.04153883829712868;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1722902441;06/08/24;00:00:41;1.012;-0.027;0.109;0.04153883829712868;-0.010995574295520782;0.0073303827084600925
01:00:0A:00:00:00:00;1722902442;06/08/24;00:00:42;1.011;-0.028;0.11;0.040317103266716;-0.012217304669320583;0.009773843921720982
01:00:0A:00:00:00:00;1722902443;06/08/24;00:00:43;1.014;-0.028;0.109;0.042760565876960754;-0.013439035043120384;0.0036651913542300463
01:00:0A:00:00:00:00;1722902444;06/08/24;00:00:44;1.015;-0.025;0.11;0.042760565876960754;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1722902445;06/08/24;00:00:45;1.014;-0.028;0.109;0.04153883829712868;-0.010995574295520782;0.010995574295520782
01:00:0A:00:00:00:00;1722902446;06/08/24;00:00:46;1.014;-0.028;0.108;0.04398229718208313;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1722902447;06/08/24;00:00:47;1.013;-0.026;0.108;0.042760565876960754;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1722902448;06/08/24;00:00:48;1.011;-0.029;0.11;0.042760565876960754;-0.012217304669320583;0.009773843921720982
01:00:0A:00:00:00:00;1722902449;06/08/24;00:00:49;1.013;-0.028;0.109;0.04398229718208313;-0.013439035043120384;0.004886921960860491
01:00:0A:00:00:00:00;1722902450;06/08/24;00:00:50;1.015;-0.026;0.11;0.04398229718208313;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1722902451;06/08/24;00:00:51;1.014;-0.028;0.109;0.042760565876960754;-0.010995574295520782;0.009773843921720982
01:00:0A:00:00:00:00;1722902452;06/08/24;00:00:52;1.012;-0.028;0.109;0.04398229718208313;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1722902453;06/08/24;00:00:53;1.011;-0.026;0.109;0.04398229718208313;-0.010995574295520782;0.00855211354792118
01:00:0A:00:00:00:00;1722902454;06/08/24;00:00:54;1.011;-0.029;0.11;0.04398229718208313;-0.012217304669320583;0.00855211354792118
01:00:0A:00:00:00:00;1722902455;06/08/24;00:00:55;1.013;-0.027;0.11;0.04398229718208313;-0.014660765416920185;0.0036651913542300463
01:00:0A:00:00:00:00;1722902456;06/08/24;00:00:56;1.015;-0.026;0.108;0.04398229718208313;-0.010995574295520782;0.00855211354792118
01:00:0A:00:00:00:00;1722902457;06/08/24;00:00:57;1.013;-0.029;0.11;0.04398229718208313;-0.009773843921720982;0.00855211354792118
01:00:0A:00:00:00:00;1722902458;06/08/24;00:00:58;1.012;-0.026;0.109;0.04398229718208313;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1722902459;06/08/24;00:00:59;1.011;-0.026;0.109;0.04398229718208313;-0.010995574295520782;0.00855211354792118
