Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1724543999;24/08/24;23:59:59;1.016;-0.007;0.063;0.019547687843441963;-0.009773843921720982;-0.0012217304902151227
01:00:0A:00:00:00:00;1724544000;25/08/24;00:00:00;1.016;-0.004;0.061;0.01710422709584236;-0.012217304669320583;0.00855211354792118
01:00:0A:00:00:00:00;1724544001;25/08/24;00:00:01;1.015;-0.01;0.059;0.015882495790719986;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544002;25/08/24;00:00:02;1.016;-0.006;0.061;0.01710422709584236;-0.009773843921720982;-0.0012217304902151227
01:00:0A:00:00:00:00;1724544003;25/08/24;00:00:03;1.015;-0.006;0.061;0.013439035043120384;-0.013439035043120384;0.00855211354792118
01:00:0A:00:00:00:00;1724544004;25/08/24;00:00:04;1.016;-0.01;0.06;0.014660765416920185;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544005;25/08/24;00:00:05;1.016;-0.007;0.062;0.014660765416920185;-0.010995574295520782;0.0
01:00:0A:00:00:00:00;1724544006;25/08/24;00:00:06;1.016;-0.005;0.061;0.012217304669320583;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1724544007;25/08/24;00:00:07;1.015;-0.009;0.061;0.012217304669320583;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544008;25/08/24;00:00:08;1.016;-0.007;0.062;0.013439035043120384;-0.010995574295520782;0.0
01:00:0A:00:00:00:00;1724544009;25/08/24;00:00:09;1.016;-0.007;0.062;0.010995574295520782;-0.012217304669320583;0.0073303827084600925
01:00:0A:00:00:00:00;1724544010;25/08/24;00:00:10;1.016;-0.01;0.06;0.010995574295520782;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544011;25/08/24;00:00:11;1.016;-0.007;0.061;0.012217304669320583;-0.010995574295520782;0.0012217304902151227
01:00:0A:00:00:00:00;1724544012;25/08/24;00:00:12;1.016;-0.006;0.061;0.010995574295520782;-0.012217304669320583;0.006108652334660292
01:00:0A:00:00:00:00;1724544013;25/08/24;00:00:13;1.016;-0.008;0.06;0.010995574295520782;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544014;25/08/24;00:00:14;1.016;-0.007;0.061;0.010995574295520782;-0.010995574295520782;0.0012217304902151227
01:00:0A:00:00:00:00;1724544015;25/08/24;00:00:15;1.016;-0.007;0.06;0.009773843921720982;-0.012217304669320583;0.006108652334660292
01:00:0A:00:00:00:00;1724544016;25/08/24;00:00:16;1.015;-0.008;0.059;0.010995574295520782;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544017;25/08/24;00:00:17;1.016;-0.007;0.06;0.010995574295520782;-0.012217304669320583;0.0024434609804302454
01:00:0A:00:00:00:00;1724544018;25/08/24;00:00:18;1.016;-0.006;0.062;0.009773843921720982;-0.010995574295520782;0.006108652334660292
01:00:0A:00:00:00:00;1724544019;25/08/24;00:00:19;1.015;-0.009;0.062;0.010995574295520782;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544020;25/08/24;00:00:20;1.016;-0.006;0.061;0.010995574295520782;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724544021;25/08/24;00:00:21;1.016;-0.007;0.061;0.009773843921720982;-0.010995574295520782;0.006108652334660292
01:00:0A:00:00:00:00;1724544022;25/08/24;00:00:22;1.016;-0.009;0.06;0.010995574295520782;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544023;25/08/24;00:00:23;1.016;-0.007;0.062;0.010995574295520782;-0.012217304669320583;0.0024434609804302454
01:00:0A:00:00:00:00;1724544024;25/08/24;00:00:24;1.015;-0.008;0.061;0.009773843921720982;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544025;25/08/24;00:00:25;1.016;-0.008;0.061;0.009773843921720982;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724544026;25/08/24;00:00:26;1.015;-0.007;0.062;0.009773843921720982;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724544027;25/08/24;00:00:27;1.016;-0.007;0.061;0.009773843921720982;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1724544028;25/08/24;00:00:28;1.016;-0.008;0.062;0.009773843921720982;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544029;25/08/24;00:00:29;1.015;-0.007;0.061;0.009773843921720982;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724544030;25/08/24;00:00:30;1.016;-0.009;0.061;0.009773843921720982;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544031;25/08/24;00:00:31;1.015;-0.007;0.061;0.009773843921720982;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724544032;25/08/24;00:00:32;1.016;-0.006;0.06;0.009773843921720982;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724544033;25/08/24;00:00:33;1.015;-0.008;0.062;0.00855211354792118;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544034;25/08/24;00:00:34;1.016;-0.007;0.061;0.00855211354792118;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724544035;25/08/24;00:00:35;1.016;-0.007;0.06;0.00855211354792118;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724544036;25/08/24;00:00:36;1.015;-0.007;0.061;0.00855211354792118;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544037;25/08/24;00:00:37;1.015;-0.008;0.06;0.00855211354792118;-0.012217304669320583;0.0036651913542300463
01:00:0A:00:00:00:00;1724544038;25/08/24;00:00:38;1.016;-0.007;0.061;0.00855211354792118;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544039;25/08/24;00:00:39;1.016;-0.007;0.061;0.00855211354792118;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544040;25/08/24;00:00:40;1.016;-0.008;0.061;0.00855211354792118;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1724544041;25/08/24;00:00:41;1.016;-0.006;0.061;0.00855211354792118;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544042;25/08/24;00:00:42;1.016;-0.007;0.061;0.00855211354792118;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544043;25/08/24;00:00:43;1.016;-0.006;0.06;0.00855211354792118;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544044;25/08/24;00:00:44;1.016;-0.006;0.06;0.00855211354792118;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544045;25/08/24;00:00:45;1.016;-0.007;0.06;0.00855211354792118;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544046;25/08/24;00:00:46;1.015;-0.01;0.063;0.009773843921720982;-0.0036651913542300463;0.00855211354792118
01:00:0A:00:00:00:00;1724544047;25/08/24;00:00:47;1.015;-0.012;0.067;0.009773843921720982;-0.012217304669320583;0.004886921960860491
01:00:0A:00:00:00:00;1724544048;25/08/24;00:00:48;1.015;-0.01;0.062;0.012217304669320583;-0.01710422709584236;-0.0012217304902151227
01:00:0A:00:00:00:00;1724544049;25/08/24;00:00:49;1.016;-0.004;0.057;0.010995574295520782;-0.012217304669320583;0.0012217304902151227
01:00:0A:00:00:00:00;1724544050;25/08/24;00:00:50;1.016;-0.007;0.062;0.010995574295520782;-0.006108652334660292;0.009773843921720982
01:00:0A:00:00:00:00;1724544051;25/08/24;00:00:51;1.016;-0.009;0.063;0.010995574295520782;-0.015882495790719986;0.0
01:00:0A:00:00:00:00;1724544052;25/08/24;00:00:52;1.016;-0.004;0.058;0.010995574295520782;-0.012217304669320583;0.0024434609804302454
01:00:0A:00:00:00:00;1724544053;25/08/24;00:00:53;1.016;-0.009;0.062;0.009773843921720982;-0.0073303827084600925;0.00855211354792118
01:00:0A:00:00:00:00;1724544054;25/08/24;00:00:54;1.016;-0.008;0.062;0.010995574295520782;-0.014660765416920185;0.0
01:00:0A:00:00:00:00;1724544055;25/08/24;00:00:55;1.016;-0.004;0.058;0.009773843921720982;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544056;25/08/24;00:00:56;1.016;-0.007;0.062;0.009773843921720982;-0.0073303827084600925;0.0073303827084600925
01:00:0A:00:00:00:00;1724544057;25/08/24;00:00:57;1.016;-0.008;0.062;0.009773843921720982;-0.014660765416920185;0.0
01:00:0A:00:00:00:00;1724544058;25/08/24;00:00:58;1.016;-0.005;0.058;0.009773843921720982;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544059;25/08/24;00:00:59;1.016;-0.008;0.062;0.009773843921720982;-0.00855211354792118;0.0073303827084600925
01:00:0A:00:00:00:00;1724544060;25/08/24;00:01:00;1.016;-0.008;0.061;0.009773843921720982;-0.014660765416920185;0.0012217304902151227
01:00:0A:00:00:00:00;1724544061;25/08/24;00:01:01;1.016;-0.006;0.059;0.009773843921720982;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1724544062;25/08/24;00:01:02;1.016;-0.008;0.061;0.00855211354792118;-0.00855211354792118;0.006108652334660292
01:00:0A:00:00:00:00;1724544063;25/08/24;00:01:03;1.016;-0.008;0.061;0.009773843921720982;-0.014660765416920185;0.0012217304902151227
01:00:0A:00:00:00:00;1724544064;25/08/24;00:01:04;1.015;-0.006;0.06;0.00855211354792118;-0.009773843921720982;0.004886921960860491
01:00:0A:00:00:00:00;1724544065;25/08/24;00:01:05;1.016;-0.008;0.062;0.00855211354792118;-0.009773843921720982;0.006108652334660292
01:00:0A:00:00:00:00;1724544066;25/08/24;00:01:06;1.015;-0.007;0.061;0.00855211354792118;-0.013439035043120384;0.0012217304902151227
01:00:0A:00:00:00:00;1724544067;25/08/24;00:01:07;1.016;-0.006;0.06;0.00855211354792118;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1724544068;25/08/24;00:01:08;1.016;-0.009;0.062;0.0073303827084600925;-0.009773843921720982;0.004886921960860491
01:00:0A:00:00:00:00;1724544069;25/08/24;00:01:09;1.016;-0.008;0.061;0.0073303827084600925;-0.013439035043120384;0.0012217304902151227
01:00:0A:00:00:00:00;1724544070;25/08/24;00:01:10;1.015;-0.006;0.06;0.0073303827084600925;-0.009773843921720982;0.004886921960860491
01:00:0A:00:00:00:00;1724544071;25/08/24;00:01:11;1.016;-0.008;0.062;0.0073303827084600925;-0.009773843921720982;0.004886921960860491
