Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1727740794;30/09/24;23:59:54;1.013;-0.008;0.055;-0.004886921960860491;-0.01710422709584236;-0.0012217304902151227
01:00:0A:00:00:00:00;1727740795;30/09/24;23:59:55;1.019;-0.011;0.058;-0.006108652334660292;-0.014660765416920185;0.0
01:00:0A:00:00:00:00;1727740796;30/09/24;23:59:56;1.023;-0.012;0.058;-0.006108652334660292;-0.009773843921720982;0.0
01:00:0A:00:00:00:00;1727740797;30/09/24;23:59:57;1.019;-0.01;0.057;-0.006108652334660292;-0.004886921960860491;0.004886921960860491
01:00:0A:00:00:00:00;1727740798;30/09/24;23:59:58;1.015;-0.008;0.057;-0.0073303827084600925;-0.0073303827084600925;0.0036651913542300463
01:00:0A:00:00:00:00;1727740799;30/09/24;23:59:59;1.011;-0.01;0.055;-0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727740800;01/10/24;00:00:00;1.012;-0.008;0.055;-0.006108652334660292;-0.014660765416920185;0.0012217304902151227
01:00:0A:00:00:00:00;1727740801;01/10/24;00:00:01;1.018;-0.008;0.057;-0.006108652334660292;-0.019547687843441963;-0.0012217304902151227
01:00:0A:00:00:00:00;1727740802;01/10/24;00:00:02;1.023;-0.01;0.058;-0.006108652334660292;-0.014660765416920185;0.0012217304902151227
01:00:0A:00:00:00:00;1727740803;01/10/24;00:00:03;1.024;-0.01;0.059;-0.004886921960860491;-0.0024434609804302454;0.0
01:00:0A:00:00:00:00;1727740804;01/10/24;00:00:04;1.017;-0.01;0.057;-0.006108652334660292;-0.0012217304902151227;0.0036651913542300463
01:00:0A:00:00:00:00;1727740805;01/10/24;00:00:05;1.01;-0.009;0.056;-0.006108652334660292;-0.0073303827084600925;0.0036651913542300463
01:00:0A:00:00:00:00;1727740806;01/10/24;00:00:06;1.007;-0.009;0.055;-0.004886921960860491;-0.014660765416920185;0.0012217304902151227
01:00:0A:00:00:00:00;1727740807;01/10/24;00:00:07;1.01;-0.01;0.056;-0.004886921960860491;-0.02076941914856434;0.0
01:00:0A:00:00:00:00;1727740808;01/10/24;00:00:08;1.022;-0.011;0.059;-0.004886921960860491;-0.01710422709584236;0.0024434609804302454
01:00:0A:00:00:00:00;1727740809;01/10/24;00:00:09;1.026;-0.009;0.06;-0.006108652334660292;-0.010995574295520782;0.004886921960860491
01:00:0A:00:00:00:00;1727740810;01/10/24;00:00:10;1.023;-0.007;0.058;-0.004886921960860491;-0.0036651913542300463;0.0012217304902151227
01:00:0A:00:00:00:00;1727740811;01/10/24;00:00:11;1.017;-0.01;0.056;-0.0036651913542300463;-0.0036651913542300463;-0.0024434609804302454
01:00:0A:00:00:00:00;1727740812;01/10/24;00:00:12;1.01;-0.011;0.055;-0.0024434609804302454;-0.00855211354792118;0.0
01:00:0A:00:00:00:00;1727740813;01/10/24;00:00:13;1.01;-0.012;0.057;-0.0036651913542300463;-0.014660765416920185;0.004886921960860491
01:00:0A:00:00:00:00;1727740814;01/10/24;00:00:14;1.015;-0.011;0.057;-0.0036651913542300463;-0.014660765416920185;0.006108652334660292
01:00:0A:00:00:00:00;1727740815;01/10/24;00:00:15;1.024;-0.009;0.057;-0.0024434609804302454;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1727740816;01/10/24;00:00:16;1.022;-0.009;0.056;-0.0024434609804302454;-0.010995574295520782;0.0036651913542300463
01:00:0A:00:00:00:00;1727740817;01/10/24;00:00:17;1.015;-0.009;0.057;-0.0024434609804302454;-0.013439035043120384;-0.0024434609804302454
