Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1727827189;01/10/24;23:59:49;1.014;0.005;0.105;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827190;01/10/24;23:59:50;1.012;0.005;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827191;01/10/24;23:59:51;1.014;0.004;0.105;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827192;01/10/24;23:59:52;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827193;01/10/24;23:59:53;1.015;0.004;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827194;01/10/24;23:59:54;1.013;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827195;01/10/24;23:59:55;1.014;0.005;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827196;01/10/24;23:59:56;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827197;01/10/24;23:59:57;1.015;0.005;0.105;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827198;01/10/24;23:59:58;1.012;0.004;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827199;01/10/24;23:59:59;1.013;0.005;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827200;02/10/24;00:00:00;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827201;02/10/24;00:00:01;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827202;02/10/24;00:00:02;1.014;0.005;0.105;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827203;02/10/24;00:00:03;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827204;02/10/24;00:00:04;1.013;0.004;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827205;02/10/24;00:00:05;1.015;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827206;02/10/24;00:00:06;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827207;02/10/24;00:00:07;1.014;0.005;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827208;02/10/24;00:00:08;1.014;0.005;0.104;0.004886921960860491;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827209;02/10/24;00:00:09;1.013;0.004;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827210;02/10/24;00:00:10;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827211;02/10/24;00:00:11;1.015;0.004;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827212;02/10/24;00:00:12;1.015;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827213;02/10/24;00:00:13;1.014;0.006;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827214;02/10/24;00:00:14;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827215;02/10/24;00:00:15;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827216;02/10/24;00:00:16;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827217;02/10/24;00:00:17;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827218;02/10/24;00:00:18;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827219;02/10/24;00:00:19;1.013;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827220;02/10/24;00:00:20;1.014;0.005;0.103;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827221;02/10/24;00:00:21;1.014;0.006;0.104;0.004886921960860491;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827222;02/10/24;00:00:22;1.014;0.006;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827223;02/10/24;00:00:23;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827224;02/10/24;00:00:24;1.013;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827225;02/10/24;00:00:25;1.013;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827226;02/10/24;00:00:26;1.014;0.004;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827227;02/10/24;00:00:27;1.015;0.005;0.104;0.004886921960860491;-0.010995574295520782;0.0024434609804302454
01:00:0A:00:00:00:00;1727827228;02/10/24;00:00:28;1.014;0.005;0.104;0.006108652334660292;-0.010995574295520782;0.0024434609804302454
