Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1722816004;05/08/24;00:00:04;1.002;-0.058;0.128;0.09651670604944229;0.019547687843441963;-0.0012217304902151227
01:00:0A:00:00:00:00;1722816005;05/08/24;00:00:05;1.004;-0.019;0.109;0.10995574295520782;-0.028099799528717995;-0.05009094998240471
01:00:0A:00:00:00:00;1722816006;05/08/24;00:00:06;1.012;-0.031;0.115;0.08674286305904388;-0.006108652334660292;0.030543262138962746
01:00:0A:00:00:00:00;1722816007;05/08/24;00:00:07;1.019;-0.068;0.136;0.10873401165008545;-0.013439035043120384;-0.009773843921720982
01:00:0A:00:00:00:00;1722816008;05/08/24;00:00:08;1.023;-0.033;0.111;0.11728612333536148;-0.02932153083384037;-0.015882495790719986
01:00:0A:00:00:00:00;1722816009;05/08/24;00:00:09;1.016;-0.032;0.11;0.09896016865968704;-0.0012217304902151227;0.040317103266716
01:00:0A:00:00:00:00;1722816010;05/08/24;00:00:10;1.006;-0.049;0.128;0.1014036238193512;-0.0354301817715168;0.0354301817715168
01:00:0A:00:00:00:00;1722816011;05/08/24;00:00:11;1.01;-0.028;0.125;0.11850785464048386;-0.024434609338641167;-0.010995574295520782
01:00:0A:00:00:00:00;1722816012;05/08/24;00:00:12;1.009;-0.037;0.109;0.10873401165008545;0.0012217304902151227;0.0354301817715168
01:00:0A:00:00:00:00;1722816013;05/08/24;00:00:13;1.001;-0.053;0.128;0.13439035415649414;0.0024434609804302454;0.00855211354792118
01:00:0A:00:00:00:00;1722816014;05/08/24;00:00:14;1.008;-0.048;0.116;0.13805554807186127;-0.039095375686883926;0.012217304669320583
01:00:0A:00:00:00:00;1722816015;05/08/24;00:00:15;1.024;-0.047;0.112;0.15393804013729095;0.006108652334660292;0.030543262138962746
01:00:0A:00:00:00:00;1722816016;05/08/24;00:00:16;1.031;-0.062;0.136;0.16371189057826996;0.0;0.03420845419168472
01:00:0A:00:00:00:00;1722816017;05/08/24;00:00:17;1.015;-0.049;0.114;0.17348572611808777;-0.025656338781118393;0.00855211354792118
01:00:0A:00:00:00:00;1722816018;05/08/24;00:00:18;1.008;-0.037;0.115;0.1869247555732727;-0.00855211354792118;0.03420845419168472
01:00:0A:00:00:00:00;1722816019;05/08/24;00:00:19;1.005;-0.045;0.131;0.20036379992961884;-0.009773843921720982;-0.0012217304902151227
01:00:0A:00:00:00:00;1722816020;05/08/24;00:00:20;1.016;-0.035;0.119;0.18814648687839508;-0.02687807008624077;0.015882495790719986
01:00:0A:00:00:00:00;1722816021;05/08/24;00:00:21;1.011;-0.04;0.125;0.20036379992961884;0.0073303827084600925;0.006108652334660292
01:00:0A:00:00:00:00;1722816022;05/08/24;00:00:22;1.011;-0.039;0.126;0.1966986060142517;0.0024434609804302454;0.0036651913542300463
01:00:0A:00:00:00:00;1722816023;05/08/24;00:00:23;1.01;-0.046;0.12;0.18814648687839508;-0.02932153083384037;0.0024434609804302454
01:00:0A:00:00:00:00;1722816024;05/08/24;00:00:24;1.015;-0.042;0.116;0.19303341209888458;-0.0024434609804302454;0.015882495790719986
01:00:0A:00:00:00:00;1722816025;05/08/24;00:00:25;1.016;-0.043;0.131;0.18570303916931152;0.0024434609804302454;0.019547687843441963
01:00:0A:00:00:00:00;1722816026;05/08/24;00:00:26;1.017;-0.046;0.11;0.17470745742321014;-0.02076941914856434;0.015882495790719986
